Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords
Research Methodologies and Ethical Challenges in Digital Migration Studies,Approaches to Social Inequality and Difference,,,10.1007/978-3-030-81226-3,Marie SandbergLuca RossiVasilis GalisMartin Bak Jørgensen,2022,http://link.springer.com/book/10.1007/978-3-030-81226-3,Book,,
Caring for (Big) Data: An Introduction to Research Methodologies and Ethical Challenges in Digital Migration Studies,Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_1,Marie SandbergLuca Rossi,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_1,Chapter,,
Caring as Critical Proximity: A Call for Toolmaking in Digital Migration Studies,Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_10,Anders Munk,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_10,Chapter,,
What Should We Do as Intellectual Activists? A Comment on the Ethico-political in Knowledge Production,Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_11,Anna Lundberg,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_11,Chapter,,
Migrant Digital Space: Building an Incomplete Map to Navigate Public Online Migration,Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_2,Vasiliki MakrygianniAhmad KamalLuca RossiVasilis Galis,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_2,Chapter,,
Contrapuntal Connectedness: Analysing Relations Between Social Media Data and Ethnography in Digital Migration Studies,Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_3,Marie SandbergNina Grønlykke MollerupLuca Rossi,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_3,Chapter,,
"Migration Trail: Exploring the Interplay Between Data visualisation, Cartography and Fiction",Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_4,Giacomo ToffanoKevin Smets,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_4,Chapter,,
"Migration Multiple? Big Data, Knowledge Practices and the Governability of Migration",Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_5,Laura Stielike,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_5,Chapter,,
Impossible Research? Ethical Challenges in the (Digital) Study of Deportable Populations Within the European Border Regime,Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_6,Leandros FischerMartin Bak Jørgensen,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_6,Chapter,,
"The Redundant Researcher: Fieldwork, Solidarity, and Migration",Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_7,Vasilis Galis,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_7,Chapter,,
Emotional Introspection: The Politics and Challenges of Contemporary Migration Research,Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_8,Ninna Nyberg Sørensen,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_8,Chapter,,
On Data and Care in Migration Contexts,Research Methodologies and Ethical Challenges in Digital Migration Studies,,,10.1007/978-3-030-81226-3_9,Koen Leurs,2022,http://link.springer.com/chapter/10.1007/978-3-030-81226-3_9,Chapter,,
Psychobiographical Illustrations on Meaning and Identity in Sociocultural Contexts,Sociocultural Psychology of the Lifecourse,,,10.1007/978-3-030-81238-6,"Claude-Hélène MayerPaul, J.P. FouchéRoelf Van Niekerk",2021,http://link.springer.com/book/10.1007/978-3-030-81238-6,Book,,
The Elusiveness of Identity and Meaning: The Lonely Journey of Henri Nouwen,Psychobiographical Illustrations on Meaning and Identity in Sociocultural Contexts,,,10.1007/978-3-030-81238-6_12,"Roelf Van NiekerkClaude-Hélène MayerPaul, J. P. Fouché",2021,http://link.springer.com/chapter/10.1007/978-3-030-81238-6_12,Chapter,,
Global Arctic,,,,10.1007/978-3-030-81253-9,Prof. Matthias FingerDr. Gunnar Rekvig,2022,http://link.springer.com/book/10.1007/978-3-030-81253-9,Book,,
Regional Governance: The Case of the Barents Region,Global Arctic,,,10.1007/978-3-030-81253-9_20,Florian Vidal,2022,http://link.springer.com/chapter/10.1007/978-3-030-81253-9_20,Chapter,,
Belonging and Resilience in Individuals with Developmental Disabilities,Emerging Issues in Family and Individual Resilience,,,10.1007/978-3-030-81277-5,Jennifer L. JonesKami L. Gallus,2021,http://link.springer.com/book/10.1007/978-3-030-81277-5,Book,,
The Family Planning Association and Contraceptive Science and Technology in Mid-Twentieth-Century Britain,Medicine and Biomedical Sciences in Modern History,,,10.1007/978-3-030-81300-0,Natasha Szuhan,2022,http://link.springer.com/book/10.1007/978-3-030-81300-0,Book,,
Employing Pure and Applied Science to Assess Contraceptive Technologies,The Family Planning Association and Contraceptive Science and Technology in Mid-Twentieth-Century Britain,,,10.1007/978-3-030-81300-0_4,Natasha Szuhan,2022,http://link.springer.com/chapter/10.1007/978-3-030-81300-0_4,Chapter,,
Assessing Organizational Behaviors,,,,10.1007/978-3-030-81311-6,Prof. Dr. Magno Oliveira MacambiraHelenides MendonçaProf. Dr. Maria das Graças Torres Paz,2022,http://link.springer.com/book/10.1007/978-3-030-81311-6,Book,,
The Next Challenges for Measuring Organizational Behavior Constructs,Assessing Organizational Behaviors,,,10.1007/978-3-030-81311-6_12,Ronald FischerJohannes Alfons Karl,2022,http://link.springer.com/chapter/10.1007/978-3-030-81311-6_12,Chapter,,
Transnational Spaces of India and Australia,,,,10.1007/978-3-030-81325-3,Paul SharradDeb Narayan Bandyopadhyay,2022,http://link.springer.com/book/10.1007/978-3-030-81325-3,Book,,
Literature and Identity Appropriation Through Costello: Coetzee’s Dealings with the Migrant’s Crisis,Transnational Spaces of India and Australia,,,10.1007/978-3-030-81325-3_8,Ananya ChatterjeeNisarga Bhattacharjee,2022,http://link.springer.com/chapter/10.1007/978-3-030-81325-3_8,Chapter,,
The Human Factor in the Settlement of the Moon,Space and Society,,,10.1007/978-3-030-81388-8,Dr. Margaret Boone RappaportDr. Konrad Szocik,2021,http://link.springer.com/book/10.1007/978-3-030-81388-8,Book,,
"Lunar Settlement, Space Refuge, and Quality of Life: A Prevention Policy for the Future of Humans on Luna",The Human Factor in the Settlement of the Moon,,,10.1007/978-3-030-81388-8_13,Konrad Szocik,2021,http://link.springer.com/chapter/10.1007/978-3-030-81388-8_13,Chapter,,
Environmental and Occupational Ethics in Early Lunar Populations: Establishing Guidelines for Future Off-World Settlements,The Human Factor in the Settlement of the Moon,,,10.1007/978-3-030-81388-8_15,Evie Kendal,2021,http://link.springer.com/chapter/10.1007/978-3-030-81388-8_15,Chapter,,
The Role of Student Services in Higher Education,,,,10.1007/978-3-030-81439-7,Dr. Annie Grant,2021,http://link.springer.com/book/10.1007/978-3-030-81439-7,Book,,
"Universities, Students and the Development of Student Advisory Services",The Role of Student Services in Higher Education,,,10.1007/978-3-030-81439-7_1,Annie Grant,2021,http://link.springer.com/chapter/10.1007/978-3-030-81439-7_1,Chapter,,
Setting a Moral Compass,The Role of Student Services in Higher Education,,,10.1007/978-3-030-81439-7_5,Annie Grant,2021,http://link.springer.com/chapter/10.1007/978-3-030-81439-7_5,Chapter,,
Pediatric Surgery,,,,10.1007/978-3-030-81488-5,Prem PuriMichael E. Höllwarth,2023,http://link.springer.com/book/10.1007/978-3-030-81488-5,Book,,
Ethical Considerations in Pediatric Surgery,Pediatric Surgery,,,10.1007/978-3-030-81488-5_13,Rita D. ShelbyDonna A. CanianoBenedict C. Nwomeh,2023,http://link.springer.com/chapter/10.1007/978-3-030-81488-5_13,Chapter,,
Games and Narrative: Theory and Practice,International Series on Computer Entertainment and Media Technology,,,10.1007/978-3-030-81538-7,Barbaros Bostan,2022,http://link.springer.com/book/10.1007/978-3-030-81538-7,Book,,
Ethics of Interactive Storytelling,Games and Narrative: Theory and Practice,,,10.1007/978-3-030-81538-7_10,Sami HyrynsalmiKai K. KimppaJouni Smed,2022,http://link.springer.com/chapter/10.1007/978-3-030-81538-7_10,Chapter,,
Digital Political Communication Strategies,The Palgrave Macmillan Series in International Political Communication,,,10.1007/978-3-030-81568-4,Berta García-Orosa,2022,http://link.springer.com/book/10.1007/978-3-030-81568-4,Book,,
VR and 360-Degree Video Storytelling in Political Communication: Threats and Opportunities,Digital Political Communication Strategies,,,10.1007/978-3-030-81568-4_8,Sara Pérez-SeijoPavel Sidorenko BautistaMaría José Benítez de Gracia,2022,http://link.springer.com/chapter/10.1007/978-3-030-81568-4_8,Chapter,,
Difficult Decisions in Trauma Surgery,Difficult Decisions in Surgery: An Evidence-Based Approach,,,10.1007/978-3-030-81667-4,Kenneth WilsonSelwyn O. Rogers,2022,http://link.springer.com/book/10.1007/978-3-030-81667-4,Book,,
Donation After Cardiac Death in the Emergency Department,Difficult Decisions in Trauma Surgery,,,10.1007/978-3-030-81667-4_31,Lisa M. KodadekAllan B. PeetzPeter Angelos,2022,http://link.springer.com/chapter/10.1007/978-3-030-81667-4_31,Chapter,,
Advancing Research in Information and Communication Technology,IFIP Advances in Information and Communication Technology,,,10.1007/978-3-030-81701-5,Michael GoedickeProf. Dr. Erich NeuholdProf. Dr. Kai Rannenberg,2021,http://link.springer.com/book/10.1007/978-3-030-81701-5,Book,,
The Impact of Human Choice and Computers and Technical Committee 9 on ICTs and Society: A Critical Sociotechnical Tale,Advancing Research in Information and Communication Technology,,,10.1007/978-3-030-81701-5_15,David KrepsGordon Fletcher,2021,http://link.springer.com/chapter/10.1007/978-3-030-81701-5_15,Chapter,,
IFIP Code of Ethics,Advancing Research in Information and Communication Technology,,,10.1007/978-3-030-81701-5_17,David Kreps,2021,http://link.springer.com/chapter/10.1007/978-3-030-81701-5_17,Chapter,,
New Economies for Sustainability,Ethical Economy,,,10.1007/978-3-030-81743-5,Assoc. Prof. Luise Li Langergaard,2022,http://link.springer.com/book/10.1007/978-3-030-81743-5,Book,,
Feminist Economics & Currency Innovation: A Sustainable Partnership?,New Economies for Sustainability,,,10.1007/978-3-030-81743-5_8,Kai Roland Green,2022,http://link.springer.com/chapter/10.1007/978-3-030-81743-5_8,Chapter,,
Disruptive Technology in Banking and Finance,Palgrave Studies in Financial Services Technology,,,10.1007/978-3-030-81835-7,Timothy KingFrancesco Saverio Stentella LopesAbhishek SrivastavJonathan Williams,2021,http://link.springer.com/book/10.1007/978-3-030-81835-7,Book,,
FinTech and Regulation: From Start to Boost—A New Framework in the Financial Services Industry. Where Is the Market Going? Too Early to Say,Disruptive Technology in Banking and Finance,,,10.1007/978-3-030-81835-7_9,Anna Omarini,2021,http://link.springer.com/chapter/10.1007/978-3-030-81835-7_9,Chapter,,
"Diplomacy, Organisations and Citizens",,,,10.1007/978-3-030-81877-7,Prof. Sónia Pedro SebastiãoProf. Susana de Carvalho Spínola,2022,http://link.springer.com/book/10.1007/978-3-030-81877-7,Book,,
Becoming an Ethical Ambassador: Proposal for a Public Relations and Public Diplomacy Practitioner Course on Ethics,"Diplomacy, Organisations and Citizens",,,10.1007/978-3-030-81877-7_15,Sónia Pedro Sebastião,2022,http://link.springer.com/chapter/10.1007/978-3-030-81877-7_15,Chapter,,
"Ethics, Governance, and Policies in Artificial Intelligence",Philosophical Studies Series,,,10.1007/978-3-030-81907-1,Luciano Floridi,2021,http://link.springer.com/book/10.1007/978-3-030-81907-1,Book,,
Introduction – The Importance of an Ethics-First Approach to the Development of AI,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_1,Luciano Floridi,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_1,Chapter,,
"From What to How: An Initial Review of Publicly Available AI Ethics Tools, Methods and Research to Translate Principles into Practices","Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_10,Jessica MorleyLuciano FloridiLibby KinseyAnat Elhalal,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_10,Chapter,,
The Explanation Game: A Formal Framework for Interpretable Machine Learning,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_11,David S. WatsonLuciano Floridi,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_11,Chapter,,
Artificial Intelligence Crime: An Interdisciplinary Analysis of Foreseeable Threats and Solutions,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_13,Thomas C. KingNikita AggarwalMariarosaria TaddeoLuciano Floridi,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_13,Chapter,,
The Ethics of AI in Health Care: A Mapping Review,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_18,Jessica MorleyCaio C. V. MachadoChristopher BurrJosh CowlsIndra JoshiMariarosaria TaddeoLuciano Floridi,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_18,Chapter,,
A Unified Framework of Five Principles for AI in Society,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_2,Luciano FloridiJosh Cowls,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_2,Chapter,,
"Robots, Jobs, Taxes, and Responsibilities","Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_21,Luciano Floridi,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_21,Chapter,,
What the Near Future of Artificial Intelligence Could Be,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_22,Luciano Floridi,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_22,Chapter,,
"An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations","Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_3,Luciano FloridiJosh CowlsMonica BeltramettiRaja ChatilaPatrice ChazerandVirginia DignumChristoph LuetgeRobert MadelinUgo PagalloFrancesca RossiBurkhard SchaferPeggy ValckeEffy Vayena,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_3,Chapter,,
Establishing the Rules for Building Trustworthy AI,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_4,Luciano Floridi,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_4,Chapter,,
Translating Principles into Practices of Digital Ethics: Five Risks of Being Unethical,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_6,Luciano Floridi,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_6,Chapter,,
How AI Can Be a Force for Good – An Ethical Framework to Harness the Potential of AI While Keeping Humans in Control,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_7,Mariarosaria TaddeoLuciano Floridi,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_7,Chapter,,
How to Design AI for Social Good: Seven Essential Factors,"Ethics, Governance, and Policies in Artificial Intelligence",,,10.1007/978-3-030-81907-1_9,Luciano FloridiJosh CowlsThomas C. KingMariarosaria Taddeo,2021,http://link.springer.com/chapter/10.1007/978-3-030-81907-1_9,Chapter,,
Creating Participatory Dialogue in Archaeological and Cultural Heritage Interpretation: Multinational Perspectives,,,,10.1007/978-3-030-81957-6,Prof. Dr. John H. JamesonProf. Dr. Sherene Baugher,2022,http://link.springer.com/book/10.1007/978-3-030-81957-6,Book,,
Explainable and Transparent AI and Multi-Agent Systems,Lecture Notes in Computer Science,,,10.1007/978-3-030-82017-6,Dr. Davide CalvaresiAmro NajjarProf. Michael WinikoffKary Främling,2021,http://link.springer.com/book/10.1007/978-3-030-82017-6,Book,,
Expectation: Personalized Explainable Artificial Intelligence for Decentralized Agents with Heterogeneous Knowledge,Explainable and Transparent AI and Multi-Agent Systems,,,10.1007/978-3-030-82017-6_20,Davide CalvaresiGiovanni CiattoAmro NajjarReyhan AydoğanLeon Van der TorreAndrea OmiciniMichael Schumacher,2021,http://link.springer.com/chapter/10.1007/978-3-030-82017-6_20,Chapter,,
Experiential Learning in Geography,,,,10.1007/978-3-030-82087-9,Prof. Jonathan E. Wessell,2021,http://link.springer.com/book/10.1007/978-3-030-82087-9,Book,,
Digital Storytelling as Community-Based Intercultural Learning in Cultural/Historical Geography,Experiential Learning in Geography,,,10.1007/978-3-030-82087-9_13,David J. Marshall,2021,http://link.springer.com/chapter/10.1007/978-3-030-82087-9_13,Chapter,,
Explainable AI and Other Applications of Fuzzy Techniques,Lecture Notes in Networks and Systems,,,10.1007/978-3-030-82099-2,Julia RayzVictor RaskinScott DickVladik Kreinovich,2022,http://link.springer.com/book/10.1007/978-3-030-82099-2,Book,,
Nurses and COVID-19:  Ethical Considerations in Pandemic Care,,,,10.1007/978-3-030-82113-5,Prof. Connie M. UlrichDr. Christine Grady,2022,http://link.springer.com/book/10.1007/978-3-030-82113-5,Book,,
Introduction,Nurses and COVID-19:  Ethical Considerations in Pandemic Care,,,10.1007/978-3-030-82113-5_1,Connie M. UlrichChristine Grady,2022,http://link.springer.com/chapter/10.1007/978-3-030-82113-5_1,Chapter,,
Moving Forward: Words of Wisdom from Nurse Leaders,Nurses and COVID-19:  Ethical Considerations in Pandemic Care,,,10.1007/978-3-030-82113-5_10,Christine GradyConnie M. UlrichLiz StokesEileen Sullivan MarxElizabeth BridgesSarah Delgado,2022,http://link.springer.com/chapter/10.1007/978-3-030-82113-5_10,Chapter,,
Dying in Isolation,Nurses and COVID-19:  Ethical Considerations in Pandemic Care,,,10.1007/978-3-030-82113-5_3,Anessa M. Foxwell,2022,http://link.springer.com/chapter/10.1007/978-3-030-82113-5_3,Chapter,,
Ethical Challenges for School Nurses during COVID-19,Nurses and COVID-19:  Ethical Considerations in Pandemic Care,,,10.1007/978-3-030-82113-5_8,Ellen M. McCabeBeth E. Jameson,2022,http://link.springer.com/chapter/10.1007/978-3-030-82113-5_8,Chapter,,
Global Health Ethics: Nursing Voices from China and Brazil,Nurses and COVID-19:  Ethical Considerations in Pandemic Care,,,10.1007/978-3-030-82113-5_9,Naixue CuiRuijie ShanHongyue ShenChaojin DaYingjuan CaoRegina SzylitMaiara Rodrigues dos SantosConnie M. Ulrich,2022,http://link.springer.com/chapter/10.1007/978-3-030-82113-5_9,Chapter,,
Intelligent Systems and Applications,Lecture Notes in Networks and Systems,,,10.1007/978-3-030-82196-8,Prof. Dr. Kohei Arai,2022,http://link.springer.com/book/10.1007/978-3-030-82196-8,Book,,
The Palgrave Handbook of Script Development,,,,10.1007/978-3-030-82234-7,Stayci TaylorCraig Batty,2021,http://link.springer.com/book/10.1007/978-3-030-82234-7,Book,,
Productive Interventions: Collaborative Script Development for Stories About Mental Health Issues and Suicide,The Palgrave Handbook of Script Development,,,10.1007/978-3-030-82234-7_32,Fincina Hopgood,2021,http://link.springer.com/chapter/10.1007/978-3-030-82234-7_32,Chapter,,
"Incarceration and Generation, Volume II",Palgrave Studies in Prisons and Penology,,,10.1007/978-3-030-82276-7,Dr. Silvia GomesDr. Maria João Leote de CarvalhoDr. Vera Duarte,2022,http://link.springer.com/book/10.1007/978-3-030-82276-7,Book,,
Artisan and Handicraft Entrepreneurs,Contributions to Management Science,,,10.1007/978-3-030-82303-0,Prof. Dr. Léo-Paul DanaProf. Veland RamadaniDr. Ramo PalalicDr. Aidin Salamzadeh,2022,http://link.springer.com/book/10.1007/978-3-030-82303-0,Book,,
The Automated City,,,,10.1007/978-3-030-82318-4,Seng W. LokeAndry Rakotonirainy,2021,http://link.springer.com/book/10.1007/978-3-030-82318-4,Book,,
"The Future of the Automated City: Social, Technical and Ethical Perspectives",The Automated City,,,10.1007/978-3-030-82318-4_4,Seng W. LokeAndry Rakotonirainy,2021,http://link.springer.com/chapter/10.1007/978-3-030-82318-4_4,Chapter,,
Textbook of Plastic and Reconstructive Surgery,,,,10.1007/978-3-030-82335-1,Prof. Michele MarucciaProf. Giuseppe Giudice,2022,http://link.springer.com/book/10.1007/978-3-030-82335-1,Book,,
"Worldviews, Ethics and Organizational Life",Ethical Economy,,,10.1007/978-3-030-82355-9,Prof. Michel Dion,2021,http://link.springer.com/book/10.1007/978-3-030-82355-9,Book,,
Moral Education and Organizational Life: Deepening the Meaning and Scope of a Moral Worldview,"Worldviews, Ethics and Organizational Life",,,10.1007/978-3-030-82355-9_3,Michel Dion,2021,http://link.springer.com/chapter/10.1007/978-3-030-82355-9_3,Chapter,,
Being Responsible for Others: The Ontic Roots of a Moral Worldview,"Worldviews, Ethics and Organizational Life",,,10.1007/978-3-030-82355-9_5,Michel Dion,2021,http://link.springer.com/chapter/10.1007/978-3-030-82355-9_5,Chapter,,
The Next Wave of Sociotechnical Design,Lecture Notes in Computer Science,,,10.1007/978-3-030-82405-1,Leona Chandra KruseProf. Dr. Stefan SeidelGeir Inge Hausvik,2021,http://link.springer.com/book/10.1007/978-3-030-82405-1,Book,,
Handbook of Child Maltreatment,Child Maltreatment,,,10.1007/978-3-030-82479-2,Richard D. KrugmanJill E. Korbin,2022,http://link.springer.com/book/10.1007/978-3-030-82479-2,Book,,
Understanding and Fighting Corruption in Europe,,,,10.1007/978-3-030-82495-2,Enrico CarloniMichela Gnaldi,2021,http://link.springer.com/book/10.1007/978-3-030-82495-2,Book,,
"Good Administration, Integrity and Corruption",Understanding and Fighting Corruption in Europe,,,10.1007/978-3-030-82495-2_5,Alessandra PioggiaMaria Giuseppina PacilliFederica Mannella,2021,http://link.springer.com/chapter/10.1007/978-3-030-82495-2_5,Chapter,,
Born Well: Prenatal Genetics and the Future of Having Children,The International Library of Bioethics,,,10.1007/978-3-030-82536-2,Prof. Dr. Megan A. AllyseDr. Marsha Michie,2022,http://link.springer.com/book/10.1007/978-3-030-82536-2,Book,,
The Good and the Goal of Pre-conception and Pre-natal Genetic Testing from a Catholic Perspective,Born Well: Prenatal Genetics and the Future of Having Children,,,10.1007/978-3-030-82536-2_7,Kevin Fitzgerald,2022,http://link.springer.com/chapter/10.1007/978-3-030-82536-2_7,Chapter,,
Causality and Neo-Stages in Development,,,,10.1007/978-3-030-82540-9,Gerald Young,2022,http://link.springer.com/book/10.1007/978-3-030-82540-9,Book,,
EthicsEthics and Conclusions,Causality and Neo-Stages in Development,,,10.1007/978-3-030-82540-9_14,Gerald Young,2022,http://link.springer.com/chapter/10.1007/978-3-030-82540-9_14,Chapter,,
AI-Powered Educational Robotics as a Learning Tool to Promote Artificial Intelligence and Computer Science Education,Robotics in Education,,,10.1007/978-3-030-82544-7_26,Amy Eguchi,2022,http://link.springer.com/chapter/10.1007/978-3-030-82544-7_26,Chapter,,
Adolescent-to-Parent Violence and Abuse,,,,10.1007/978-3-030-82583-6,Elizabeth McCloud,2021,http://link.springer.com/book/10.1007/978-3-030-82583-6,Book,,
"Conclusion: APVA Policy, Practice and Research—Implications and Future Directions",Adolescent-to-Parent Violence and Abuse,,,10.1007/978-3-030-82583-6_8,Elizabeth McCloud,2021,http://link.springer.com/chapter/10.1007/978-3-030-82583-6_8,Chapter,,
Breathing Life into Sexuality Education,,,,10.1007/978-3-030-82602-4,Prof. Louisa Allen,2021,http://link.springer.com/book/10.1007/978-3-030-82602-4,Book,,
Nonhuman Primate Welfare,,,,10.1007/978-3-030-82708-3,Lauren M. RobinsonAlexander Weiss,2023,http://link.springer.com/book/10.1007/978-3-030-82708-3,Book,,
"The Welfare Impact of Regulations, Policies, Guidelines, and Directives and Nonhuman Primate Welfare",Nonhuman Primate Welfare,,,10.1007/978-3-030-82708-3_27,Kathryn BayneJann HauTimothy Morris,2023,http://link.springer.com/chapter/10.1007/978-3-030-82708-3_27,Chapter,,
Modes of Esports Engagement in Overwatch,,,,10.1007/978-3-030-82767-0,Maria RuotsalainenMaria TörhönenVeli-Matti Karhulahti,2022,http://link.springer.com/book/10.1007/978-3-030-82767-0,Book,,
Two Overwatch Player Profiles,Modes of Esports Engagement in Overwatch,,,10.1007/978-3-030-82767-0_2,Jukka VahloVeli-Matti Karhulahti,2022,http://link.springer.com/chapter/10.1007/978-3-030-82767-0_2,Chapter,,
Modern Socio-Technical Perspectives on Privacy,,,,10.1007/978-3-030-82786-1,Dr. Bart P. KnijnenburgPh.D. Xinru PagePh.D. Pamela WisniewskiPh.D. Heather Richter LipfordPh.D. Nicholas ProferesJennifer Romano,2022,http://link.springer.com/book/10.1007/978-3-030-82786-1,Book,,
Accessible Privacy,Modern Socio-Technical Perspectives on Privacy,,,10.1007/978-3-030-82786-1_13,Yang WangCharlotte Emily Price,2022,http://link.springer.com/chapter/10.1007/978-3-030-82786-1_13,Chapter,,
"The Ethics of Privacy in Research and Design: Principles, Practices, and Potential",Modern Socio-Technical Perspectives on Privacy,,,10.1007/978-3-030-82786-1_17,Lorraine KisselburghJonathan Beever,2022,http://link.springer.com/chapter/10.1007/978-3-030-82786-1_17,Chapter,,
Privacy Beyond the Individual Level,Modern Socio-Technical Perspectives on Privacy,,,10.1007/978-3-030-82786-1_6,Jennifer Jiyoung SuhMiriam J. Metzger,2022,http://link.springer.com/chapter/10.1007/978-3-030-82786-1_6,Chapter,,
Textbook of Liver Transplantation,,,,10.1007/978-3-030-82930-8,Prof. Patrizia Burra,2022,http://link.springer.com/book/10.1007/978-3-030-82930-8,Book,,
Ethical Issues in Living Donor Liver Transplantation,Textbook of Liver Transplantation,,,10.1007/978-3-030-82930-8_14,Kendra ConzenElizabeth Pomfret,2022,http://link.springer.com/chapter/10.1007/978-3-030-82930-8_14,Chapter,,
Liver Retransplantation,Textbook of Liver Transplantation,,,10.1007/978-3-030-82930-8_24,Umberto CilloAlessandra Bertacco,2022,http://link.springer.com/chapter/10.1007/978-3-030-82930-8_24,Chapter,,
Contemporary Peacemaking,,,,10.1007/978-3-030-82962-9,Prof. Roger Mac GintyAnthony Wanis-St. John,2022,http://link.springer.com/book/10.1007/978-3-030-82962-9,Book,,
Introduction,Contemporary Peacemaking,,,10.1007/978-3-030-82962-9_1,Roger Mac GintyAnthony Wanis-St. John,2022,http://link.springer.com/chapter/10.1007/978-3-030-82962-9_1,Chapter,,
"Machine and Deep Learning in Oncology, Medical Physics and Radiology",,,,10.1007/978-3-030-83047-2,Prof. Issam El NaqaPh.D. Martin J. Murphy,2022,http://link.springer.com/book/10.1007/978-3-030-83047-2,Book,,
What Are Machine and Deep Learning?,"Machine and Deep Learning in Oncology, Medical Physics and Radiology",,,10.1007/978-3-030-83047-2_1,Issam El NaqaMartin J. Murphy,2022,http://link.springer.com/chapter/10.1007/978-3-030-83047-2_1,Chapter,,
Approaches to Chronic Kidney Disease,,,,10.1007/978-3-030-83082-3,Jerry McCauleyMD Seyed Mehrdad HamrahianMD Omar H. Maarouf,2022,http://link.springer.com/book/10.1007/978-3-030-83082-3,Book,,
Social Impact Measurement for a Sustainable Future,,,,10.1007/978-3-030-83152-3,Richard HazenbergClaire Paterson-Young,2022,http://link.springer.com/book/10.1007/978-3-030-83152-3,Book,,
Ethical Issues with Social Impact Measurement,Social Impact Measurement for a Sustainable Future,,,10.1007/978-3-030-83152-3_15,Claire Paterson-YoungRichard Hazenberg,2022,http://link.springer.com/chapter/10.1007/978-3-030-83152-3_15,Chapter,,
Digital Technologies in the New Socio-Economic Reality,Lecture Notes in Networks and Systems,,,10.1007/978-3-030-83175-2,Prof. Svetlana Igorevna AshmarinaDr. Valentina Vyacheslavovna Mantulenko,2022,http://link.springer.com/book/10.1007/978-3-030-83175-2,Book,,
The Effect of Digital Intelligence on the Change in the Corporate Culture,Digital Technologies in the New Socio-Economic Reality,,,10.1007/978-3-030-83175-2_69,L. V. PolynovaE. S. PopovaA. R. Potapova,2022,http://link.springer.com/chapter/10.1007/978-3-030-83175-2_69,Chapter,,
