,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,ISBN,ISSN,Date,Date Added,Date Modified,Pages,Series,Publisher,Key,Eligibility_Abstract_Score,Eligibility_Keywords_Score,Eligibility_Title_Score,Eligibility_Score,Author Affiliations,Date Added To Xplore,Start Page,End Page,ISBNs,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Extra
29,Ethics Education and Institutional Ethics Committees,Handbook of Bioethical Decisions. Volume II,,,10.1007/978-3-031-29455-6_21,Ercan AvciHenk ten Have,2023.0,http://link.springer.com/chapter/10.1007/978-3-031-29455-6_21,Chapter,"Ethics consultation, which emerged at the end of the 1970s and beginning of the 1980s in the United States and gradually spread to some other countries, shoulder a crucial responsibility in clinical ethics by contributing to the quality of healthcare services through ethics consultation, case analysis, policy development, and ethics education. Institutional Ethics Committee is a type of that effort to identify, analyze, and resolve ethical issues but also used interchangeably with ethics consultation. Each function of institutional ethics committees refers to a substantial role in the therapeutic relationship. However, ethics education carries a higher potential to increase ethical knowledge, improve ethical skills, develop ethical behavior, and promote cultural competence by providing committee members, healthcare professionals, and patients and their families with continuous educational activities. Performing ethics consultation through bioethicists and other professionals having education in bioethics would help to achieve these goals and enhance the impact of bioethicists in clinical decisions.",,,,,,,,,,,0.2039473684210526,,0.6666666666666666,0.22456553766593,,,,,,,,,,,,,,,
30,AI Principles,Building Responsible AI Algorithms,,,10.1007/978-1-4842-9306-5_2,Toju Duke,2023.0,http://link.springer.com/chapter/10.1007/978-1-4842-9306-5_2,Chapter,"The first chapter set the foundation for responsible AI frameworks, kicking off with responsibility and a few examples of AI and its ethical limitations. This chapter delves into “AI principles,” which are fundamental components of building responsible AI systems.",,978-1-4503-9071-2,,2022,2023-11-06 01:29:50,2023-11-06 01:29:50,1203,SIGCSE 2022,Association for Computing Machinery,EZQ5A6TG,0.2051282051282051,0.4285714285714285,0.5,0.2189669536239933,,,,,,,,,,,,,,,
31,What Makes Surgical Ethics Unique?,Difficult Decisions in Surgical Ethics,,,10.1007/978-3-030-84625-1_3,Jessica G. Y. LucJason J. HanRobert M. Sade,2022.0,http://link.springer.com/chapter/10.1007/978-3-030-84625-1_3,Chapter,"In this chapter, we provide an overview of ethical principles as they apply to health care, with a focus on surgical ethics. We discuss why surgical ethics matter and what makes surgical ethics unique, spanning aspects of patient care, professional integrity, research, administration, education, and surgical training and education. We present observations on how surgical ethics can be taught, and, finally, we speculate on the future of ethics in surgery.",,,,,,,,,,,0.1857142857142857,,0.4,0.2005226480836237,,,,,,,,,,,,,,,
32,Protecting privacy and promoting learning: blockchain and privacy preserving technology should inform new ethical guidelines for health data,Health and Technology,11.0,5.0,10.1007/s12553-021-00589-9,Marielle GrossRobert C. Miller,2021.0,http://link.springer.com/article/10.1007/s12553-021-00589-9,Article,Our current legal protections and ethical oversight have been insufficient for guarding against ethical violations involving our health data in the modern age. Concerns regarding the governance and privacy of health data are growing in tandem with calls for updated ethical guidelines for data-driven research. In this piece we discuss how blockchain technology and privacy preserving forms of computation may be foundational for new ethical guidelines given their potential to resolve the fundamental tensions between our concurrent obligations to protect individuals’ health data rights and to promote learning from health data for the good of society.,,,,,,,,,,,0.1875,,0.3333333333333333,0.2132136859781696,,,,,,,,,,,,,,,
33,What Does It Mean to Embed Ethics in Data Science? An Integrative Approach Based on Microethics and Virtues,AI Soc.,36.0,3,10.1007/s00146-020-01112-w,"Bezuidenhout, Louise; Ratti, Emanuele",2021.0,https://doi.org/10.1007/s00146-020-01112-w,journalArticle,"In the past few years, scholars have been questioning whether the current approach in data ethics based on the higher level case studies and general principles is effective. In particular, some have been complaining that such an approach to ethics is difficult to be applied and to be taught in the context of data science. In response to these concerns, there have been discussions about how ethics should be “embedded” in the practice of data science, in the sense of showing how ethical issues emerge in small technical choices made by data scientists in their day-to-day activities, and how such an approach can be used to teach data ethics. However, a precise description of how such proposals have to be theoretically conceived and could be operationalized has been lacking. In this article, we propose a full-fledged characterization of ‘embedding’ ethics, and how this can be applied especially to the problem of teaching data science ethics. Using the emerging model of ‘microethics’, we propose a way of teaching daily responsibility in digital activities that is connected to (and draws from) the higher level ethical challenges discussed in digital/data ethics. We ground this microethical approach into a virtue theory framework, by stressing that the goal of a microethics is to foster the cultivation of moral virtues. After delineating this approach of embedding ethics in theoretical detail, this article discusses a concrete example of how such a ‘micro-virtue ethics’ approach could be practically taught to data science students.",Embedded ethics; Data science; Virtue ethics; Microethics; Teaching ethics,,0951-5666,2021-09,2023-11-06 01:30:03,2023-11-06 01:30:03,939–953,,,B9TXHEP8,0.1387755102040816,0.7777777777777778,0.1666666666666666,0.167833615141625,,,,,,,,,,,,,,,
34,A Sector-Based Approach to AI Ethics: Understanding Ethical Issues of AI-Related Incidents within Their Sectoral Context,"Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604680,"Burema, Dafna; Debowski-Weimann, Nicole; von Janowski, Alexander; Grabowski, Jil; Maftei, Mihai; Jacobs, Mattis; van der Smagt, Patrick; Benbouzid, Djalel",2023.0,https://doi.org/10.1145/3600211.3604680,conferencePaper,"Acknowledging that society is made up of different sectors with their own rules and structures, this paper studies the relevance of a sector-specific perspective to AI ethics. Incidents with AI are studied in relation to five sectors (police, healthcare, education and academia, politics, automotive) using the AIAAIC repository. A total of 125 incidents are sampled and analyzed by conducting a qualitative content analysis on media reports. The results show that certain ethical principles are found breached across sectors: accuracy/reliability, bias/discrimination, transparency, surveillance/privacy, security. However, results also show that 1) some ethical issues (misinformation, safety, premise/intent) are sector specific, 2) the consequences and meaning of the same ethical issue is able to vary across sectors and 3) pre-existing sector-specific issues are reproduced with these ethical breaches. The paper concludes that general ethical principles are relevant to discuss across sectors, yet, a sector-based approach to AI ethics gives in-depth information on sector-specific structural issues.",,9798400702310,,2023,2023-11-06 01:29:48,2023-11-06 01:29:48,705–714,AIES '23,Association for Computing Machinery,4REIZHKM,0.1447368421052631,0.0,0.375,0.1672564663492472,,,,,,,,,,,,,,,
35,Epistemic Just and Dynamic AI Ethics in Africa,Responsible AI in Africa,,,10.1007/978-3-031-08215-3_2,Emma Ruttkamp-Bloem,2023.0,http://link.springer.com/chapter/10.1007/978-3-031-08215-3_2,Chapter,"This chapter considers the potential for actualising the ideal for responsible AI on the African continent, focusing on the AI ethics policy environment in Africa. I consider the impact of context and culture on successful adoption of AI technologies in general and on trust in AI technology and openness to AI regulation in particular. It concludes that actionable AI ethics in Africa should be driven by dynamic and epistemic just ethical systems.",,,,,,,,,,,0.1944444444444444,,0.375,0.2112233445566778,,,,,,,,,,,,,,,
36,The 2020 Yearbook of the Digital Ethics Lab,Digital Ethics Lab Yearbook,,,10.1007/978-3-030-80083-3,Josh CowlsJessica Morley,2021.0,http://link.springer.com/book/10.1007/978-3-030-80083-3,Book,"
This annual edited volume presents an overview of cutting-edge research areas within digital ethics as defined by the Digital Ethics Lab of the University of Oxford. It identifies new challenges and opportunities of influence in setting the research agenda in the field.
The 2020 edition of the yearbook presents research on the following topics: governing digital health, visualising governance, the digital afterlife, the possibility of an AI winter, the limits of design theory in philosophy, cyberwarfare, ethics of online behaviour change, governance of AI, trust in AI, and Emotional Self-Awareness as a Digital Literacy. This book appeals to students, researchers and professionals in the field.
",,,,,,,,,,,0.1923076923076923,,0.5,0.2100195654412522,,,,,,,,,,,,,,,
37,Walking the Walk of AI Ethics: Organizational Challenges and the Individualization of Risk among Ethics Entrepreneurs,"Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",,,10.1145/3593013.3593990,"Ali, Sanna J.; Christin, Angèle; Smart, Andrew; Katila, Riitta",2023.0,https://doi.org/10.1145/3593013.3593990,conferencePaper,"Amidst decline in public trust in technology, computing ethics have taken center stage, and critics have raised questions about corporate “ethics washing.” Yet few studies examine the actual implementation of AI ethics values in technology companies. Based on a qualitative analysis of technology workers tasked with integrating AI ethics into product development, we find that workers experience an environment where policies, practices, and outcomes are decoupled. We analyze AI ethics workers as ethics entrepreneurs who work to institutionalize new ethics-related practices within organizations. We show that ethics entrepreneurs face three major barriers to their work. First, they struggle to have ethics prioritized in an environment centered around software product launches. Second, ethics are difficult to quantify in a context where company goals are incentivized by metrics. Third, the frequent reorganization of teams makes it difficult to access knowledge and maintain relationships central to their work. Consequently, individuals take on great personal risk when raising ethics issues, especially when they come from marginalized backgrounds. These findings shed light on complex dynamics of institutional change at technology companies.",AI ethics; decoupling; institutional change; neo-institutionalism; organizations; responsible AI; Science and Technology Studies,9798400701924,,2023,2023-11-06 01:29:48,2023-11-06 01:29:48,217–226,FAccT '23,Association for Computing Machinery,54WS3WZI,0.1363636363636363,0.3076923076923077,0.3125,0.1647601814073776,,,,,,,,,,,,,,,
38,Automated Kantian Ethics,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3539527,"Singh, Lavanya",2022.0,https://doi.org/10.1145/3514094.3539527,conferencePaper,"As we grant artificial intelligence increasing power and independence in contexts like healthcare, policing, and driving, AI faces moral dilemmas but lacks the tools to solve them. The dangers of unethical AI motivate automated ethics-i.e., the development of machines that can perform ethical reasoning. Though philosophically sophisticated ethical theories enable nuanced judgements, prior work in automated ethics rarely engages with philosophical literature. I contribute an implementation of automated Kantian ethics that is faithful to the Kantian philosophical tradition. My system can morally judge actions and is an early step towards philosophically mature ethical AI agents. I hope to develop an ""input parser"" that can parse natural language sentences into logical formulas that my system can evaluate.",Kant; automated ethics; Dyadic Deontic Logic; Isabelle/HOL,978-1-4503-9247-1,,2022,2023-11-06 01:29:54,2023-11-06 01:29:54,915,AIES '22,Association for Computing Machinery,UMPN42CE,0.1379310344827586,0.2857142857142857,0.6666666666666666,0.1616599225897255,,,,,,,,,,,,,,,
39,Organisational Responses to the Ethical Issues of Artificial Intelligence,AI Soc.,37.0,1,10.1007/s00146-021-01148-6,"Stahl, Bernd Carsten; Antoniou, Josephina; Ryan, Mark; Macnish, Kevin; Jiya, Tilimbe",2022.0,https://doi.org/10.1007/s00146-021-01148-6,journalArticle,"The ethics of artificial intelligence (AI) is a widely discussed topic. There are numerous initiatives that aim to develop the principles and guidance to ensure that the development, deployment and use of AI are ethically acceptable. What is generally unclear is how organisations that make use of AI understand and address these ethical issues in practice. While there is an abundance of conceptual work on AI ethics, empirical insights are rare and often anecdotal. This paper fills the gap in our current understanding of how organisations deal with AI ethics by presenting empirical findings collected using a set of ten case studies and providing an account of the cross-case analysis. The paper reviews the discussion of ethical issues of AI as well as mitigation strategies that have been proposed in the literature. Using this background, the cross-case analysis categorises the organisational responses that were observed in practice. The discussion shows that organisations are highly aware of the AI ethics debate and keen to engage with ethical issues proactively. However, they make use of only a relatively small subsection of the mitigation strategies proposed in the literature. These insights are of importance to organisations deploying or using AI, to the academic AI ethics debate, but maybe most valuable to policymakers involved in the current debate about suitable policy developments to address the ethical issues raised by AI.",Ethics; Artificial intelligence; AI policy; Case study; Organisational response,,0951-5666,2022-03,2023-11-06 01:30:00,2023-11-06 01:30:00,23–37,,,A8WHBU5L,0.1415929203539823,0.3333333333333333,0.3333333333333333,0.1597741697444135,,,,,,,,,,,,,,,
40,Artificial Intelligence ELSI Score for Science and Technology: A Comparison between Japan and the US,AI Soc.,38.0,4,10.1007/s00146-021-01323-9,"Hartwig, Tilman; Ikkatai, Yuko; Takanashi, Naohiro; Yokoyama, Hiromi M.",2022.0,https://doi.org/10.1007/s00146-021-01323-9,journalArticle,"Artificial intelligence (AI) has become indispensable in our lives. The development of a quantitative scale for AI ethics is necessary for a better understanding of public attitudes toward AI research ethics and to advance the discussion on using AI within society. For this study, we developed an AI ethics scale based on AI-specific scenarios. We investigated public attitudes toward AI ethics in Japan and the US using online questionnaires. We designed a test set using four dilemma scenarios and questionnaire items based on a theoretical framework for ethics, legal, and social issues (ELSI). We found that country and age are the most informative sociodemographic categories for predicting attitudes for AI ethics. Our proposed scale, which consists of 13 questions, can be reduced to only three, covering ethics, tradition, and policies. This new AI ethics scale will help to quantify how AI research is accepted in society and which area of ELSI people are most concerned with.",Ethics; Artificial Intelligence; Dilemma; ELSI,,0951-5666,2022-01,2023-11-06 01:29:59,2023-11-06 01:29:59,1609–1626,,,D4YXJKJ7,0.1602564102564102,0.4,0.0,0.1558417142339404,,,,,,,,,,,,,,,
41,Ethical Considerations in Geriatric Dentistry,Oral Health and Aging,,,10.1007/978-3-030-85993-0_12,Carlos S. Smith,2022.0,http://link.springer.com/chapter/10.1007/978-3-030-85993-0_12,Chapter,"Dental practice specific to geriatric patient care raises specific ethical issues due to the evolving dental needs of older adults. While ethical dilemmas have been vastly studied, taught, and applied, all dentist-patient interactions do not necessarily give rise to an ethical dilemma. However, every dentist-patient, or even dentist-team member interaction does have within it an ethical dimension. Providing care for the geriatric dental patient highlights numerous ethical issues, some applicable across the patient demographic but some highly specialized for geriatric care. Understanding and fully applying informed consent, particularly in the age of rising dementia and declining capacity; elder abuse, evolving technologies, and changing models of care delivery; medical mistrust and history of racism in healthcare; and the effects of a global pandemic are all issues best seen through an ethical lens. Lastly, this chapter introduces various ethical frameworks and best practices for ethical decision making through a narrative ethic.",,,,,,,,,,,0.1610738255033557,,0.6,0.1791946308724832,,,,,,,,,,,,,,,
42,“The health equity curse”: ethical tensions in promoting health equity,BMC Public Health,21.0,1.0,10.1186/s12889-021-11594-y,Bernie PaulyTina RevaiLenora MarcellusWanda MartinKathy EastonMarjorie MacDonald,2021.0,http://link.springer.com/article/10.1186/s12889-021-11594-y,Article,Naming these tensions provides insights into the daily ethical challenges of PH practitioners and an opportunity to reflect on the relevance of PH frameworks. These findings highlight the value of relational ethics as a promising approach for developing ethical frameworks for PH practice.,,,,,,,,,,,0.1860465116279069,,0.3,0.2082658547645267,,,,,,,,,,,,,,,
43,Exploring the perceived benefits of ethics education for laboratory professionals,International Journal of Ethics Education,7.0,1.0,10.1007/s40889-022-00140-y,Khojasta TalashChloe AnthiasLaura L. Machin,2022.0,http://link.springer.com/article/10.1007/s40889-022-00140-y,Article,"Clinical laboratories face ethical challenges on a daily basis. The ethics training provided for clinical laboratory staff is variable, with some receiving no training. We aimed to explore the perceived benefits of ethics education for laboratory professionals. Ethics training was provided to approximately 60 laboratory professionals in a UK not-for-profit blood cancer organisation, with group discussions incorporated into the session. The session covered dominant ethical theories and principles, the defining moments in medical research ethics and the ethical aspects of laboratory practices. At the end of the session a short optional paper survey was distributed to the participants to obtain feedback on the training. The feedback was anonymous and thematically coded. Attendees reported to be more aware of the existence and importance of ‘everyday’ ethics in their workplace. Responses also showed that the training session had provided participants with an opportunity for ethical reflection in themselves and in discussion with their colleagues. Despite clinical laboratory professionals being faced with ethical challenges daily, there is comparatively little ethics education provided. Ethics training is believed to improve the ethical attitude of laboratory staff and help them when making decisions in their work. We have shown that ethics education is important for laboratory professionals to develop and retain ethical awareness, and ethical reflection. By gaining insight into the ethical aspects of their practices, laboratory professionals can apply this understanding when faced with making challenging decisions in their workplace, in order to act in the best interests of their patients.",,,,,,,,,,,0.1747967479674796,,0.2,0.1759340534909527,,,,,,,,,,,,,,,
44,Ethical Artificial Intelligence in the Italian Defence: a Case Study,Digital Society,2.0,2.0,10.1007/s44206-023-00056-0,Rosanna FanniFernando Giancotti,2023.0,http://link.springer.com/article/10.1007/s44206-023-00056-0,Article,"The ethical or responsible use of Artificial Intelligence (AI) is central to numerous civilian AI governance frameworks and to literature. Not so in defence: only a handful of governments have engaged with ethical questions arising from the development and use of AI in and for defence. This paper fills a critical gap in the AI ethics literature by providing evidence on the perception of ethical AI within a national defence institution. Our qualitative case study analyses how the collective Italian Defence leadership thinks about deploying AI systems and the ethical implications. We interviewed 15 leaders about the impact of AI on the Italian Defence, key ethical challenges, and responsibility for future action. Our findings suggest that Italian Defence leaders are keen to address ethical issues but encounter challenges in developing a system governance approach to implement ethical AI across the organisation. Guidance on risk management and human–machine interaction, applied education, and interdisciplinary research, as well as guidance on AI defence ethics by the European Union are critical elements for Italian Defence leaders as they adapt their organisational processes to the AI-enabled digital transformation.",,,,,,,,,,,0.2021857923497267,,0.3,0.207302227826818,,,,,,,,,,,,,,,
45,The need for health AI ethics in medical school education,Advances in Health Sciences Education,26.0,4.0,10.1007/s10459-021-10040-3,Gali KatznelsonSara Gerke,2021.0,http://link.springer.com/article/10.1007/s10459-021-10040-3,Article,"Health Artificial Intelligence (AI) has the potential to improve health care, but at the same time, raises many ethical challenges. Within the field of health AI ethics, the solutions to the questions posed by ethical issues such as informed consent, bias, safety, transparency, patient privacy, and allocation are complex and difficult to navigate. The increasing amount of data, market forces, and changing landscape of health care suggest that medical students may be faced with a workplace in which understanding how to safely and effectively interact with health AIs will be essential. Here we argue that there is a need to teach health AI ethics in medical schools. Real events in health AI already pose ethical challenges to the medical community. We discuss key ethical issues requiring medical school education and suggest that case studies based on recent real-life examples are useful tools to teach the ethical issues raised by health AIs.",,,,,,,,,,,0.1655629139072847,,0.3,0.1731650110375276,,,,,,,,,,,,,,,
46,The Practices of Digital Citizenship Among Undergraduates at Sultan Qaboos University in Oman During COVID-19,Future Trends in Education Post COVID-19,,,10.1007/978-981-99-1927-7_22,Mouza AlsaadiNabhan AlharassiJamal AlsalmiSalim Alkindi,2023.0,http://link.springer.com/chapter/10.1007/978-981-99-1927-7_22,Chapter,"Digital citizenship (DC) has been an essential subject in educational research for the last few years. This study aimed at discovering the degree to which Omani undergraduate students practiced digital citizenship during the COVID-19 pandemic. The participants were 262 undergraduate students (116 males and 164 females) who took an online university elective course at Sultan Qaboos University (SQU) in Spring of 2021. The study adopted a quantitative approach to data collection to investigate students’ digital citizenship practices. An online situational judgment test was developed and conducted to address six dimensions of digital citizenship: digital identity, digital civic engagement, digital ethics, digital literacy, digital safety, and global digital communication. The findings show that the level of practicing digital citizenship dimensions ranged from intermediate to low. Additionally, the results show that the least practiced dimensions are digital civic engagement and digital identity. Further, the results indicated some gender differences in students’ practices of digital citizenship. Considering the results, more efforts are required from stakeholders to enhance the level of DC among undergraduates. The findings of the study are considered good indicators to be taken when designing and evaluating curricula at higher education institutions.",,,,,,,,,,,0.1623036649214659,,0.1333333333333333,0.1601685965353223,,,,,,,,,,,,,,,
47,Virtual Personal Assistant Prototype YouTwinDi,European Language Grid,,,10.1007/978-3-031-17258-8_29,Franz WeberGregor Jarisch,2023.0,http://link.springer.com/chapter/10.1007/978-3-031-17258-8_29,Chapter,"YouTwinDi is the next step in a digitised world in which the digital twin evolves and interacts with other digital twins and makes autonomous decisions in the interest of its human twin. In this scenario, security and digital ethics assure ethical decisions and IT specialists concur on improving the digital landscape with ethical models. This vision also includes overcoming language barriers. A continuous match of supply and demand as well as tailored searches help human twins to improve their lives in all respects. YouTwinDi uses the most advanced translation and language analysis technologies, allowing the user and its digital twin to interact with all European citizens without being blocked by language barriers.",,,,,,,,,,,0.1607142857142857,,0.0,0.1511131725417439,,,,,,,,,,,,,,,
48,"Converged AI, IoT, and blockchain technologies: a conceptual ethics framework",AI and Ethics,2.0,1.0,10.1007/s43681-021-00079-8,Esther NehmeRayane El SibaiJacques Bou AbdoA. Ross TaylorJacques Demerjian,2022.0,http://link.springer.com/article/10.1007/s43681-021-00079-8,Article,"The convergence of AI, IoT, and blockchain as the next disruptive technology is inevitable. Studying the ethics of these converged technologies is crucial for the steady development and adoption of the applications. Even though this topic is crucial, it is still not yet touched in the literature. This work is the first attempt to tackle this issue by developing a conceptual ethics framework for converged AI, IoT, and blockchain. The framework is based on a systematic literature review and categorizes the ethical issues into three layers namely micro (ethical issue involving the technology itself), meso (ethical issue involving the applications), and macro (ethical issue involving the society and institutions).",,,,,,,,,,,0.1651376146788991,,0.3,0.1781833479323221,,,,,,,,,,,,,,,
49,To Each Technology Its Own Ethics: The Problem of Ethical Proliferation,Philosophy & Technology,35.0,4.0,10.1007/s13347-022-00591-7,Henrik Skaug SætraJohn Danaher,2022.0,http://link.springer.com/article/10.1007/s13347-022-00591-7,Article,"Ethics plays a key role in the normative analysis of the impacts of technology. We know that computers in general and the processing of data, the use of artificial intelligence, and the combination of computers and/or artificial intelligence with robotics are all associated with ethically relevant implications for individuals, groups, and society. In this article, we argue that while all technologies are ethically relevant, there is no need to create a separate ‘ethics of X’ or ‘X ethics’ for each and every subtype of technology or technological property—e.g. computer ethics, AI ethics, data ethics, information ethics, robot ethics, and machine ethics. Specific technologies might have specific impacts, but we argue that they are often sufficiently covered and understood through already established higher-level domains of ethics. Furthermore, the proliferation of tech ethics is problematic because (a) the conceptual boundaries between the subfields are not well-defined, (b) it leads to a duplication of effort and constant reinventing the wheel, and (c) there is danger that participants overlook or ignore more fundamental ethical insights and truths. The key to avoiding such outcomes lies in a taking the discipline of ethics seriously, and we consequently begin with a brief description of what ethics is, before presenting the main forms of technology related ethics. Through this process, we develop a hierarchy of technology ethics, which can be used by developers and engineers, researchers, or regulators who seek an understanding of the ethical implications of technology. We close by deducing two principles for positioning ethical analysis which will, in combination with the hierarchy, promote the leveraging of existing knowledge and help us to avoid an exaggerated proliferation of tech ethics.",,,,,,,,,,,0.1605839416058394,,0.4545454545454545,0.1716036181732695,,,,,,,,,,,,,,,
50,Philosophical foundations for digital ethics and AI Ethics: a dignitarian approach,AI and Ethics,1.0,4.0,10.1007/s43681-021-00040-9,Robert HannaEmre Kazim,2021.0,http://link.springer.com/article/10.1007/s43681-021-00040-9,Article,"AI Ethics is a burgeoning and relatively new field that has emerged in response to growing concerns about the impact of artificial intelligence (AI) on human individuals and their social institutions. In turn, AI ethics is a part of the broader field of digital ethics, which addresses similar concerns generated by the development and deployment of new digital technologies. Here, we tackle the important worry that digital ethics in general, and AI ethics in particular, lack adequate philosophical foundations. In direct response to that worry, we formulate and rationally justify some basic concepts and principles for digital ethics/AI ethics, all drawn from a broadly Kantian theory of human dignity. Our argument, which is designed to be relatively compact and easily accessible, is presented in ten distinct steps: (1) what “digital ethics” and “AI ethics” mean, (2) refuting the dignity-skeptic, (3) the metaphysics of human dignity, (4) human happiness or flourishing, true human needs, and human dignity, (5) our moral obligations with respect to all human real persons, (6) what a natural automaton or natural machine is, (7) why human real persons are not natural automata/natural machines: because consciousness is a form of life, (8) our moral obligations with respect to the design and use of artificial automata or artificial machines, aka computers, and digital technology more generally, (9) what privacy is, why invasions of digital privacy are morally impermissible, whereas consensual entrances into digital privacy are either morally permissible or even obligatory, and finally (10) dignitarian morality versus legality, and digital ethics/AI ethics. We conclude by asserting our strongly-held belief that a well-founded and generally-accepted dignitarian digital ethics/AI ethics is of global existential importance for humanity.",,,,,,,,,,,0.1847826086956521,,0.6363636363636364,0.2039193757596184,,,,,,,,,,,,,,,
51,A Discussion on Ethical Cybersecurity Issues in Digital Service Chains,Cybersecurity of Digital Service Chains,,,10.1007/978-3-031-04036-8_10,Frédéric TronnierSebastian PapeSascha LöbnerKai Rannenberg,2022.0,http://link.springer.com/chapter/10.1007/978-3-031-04036-8_10,Chapter,"Enabling cybersecurity and protecting personal data are crucial challenges in the development and provision of digital service chains. Data and information are the key ingredients in the creation process of new digital services and products. While legal and technical problems are frequently discussed in academia, ethical issues of digital service chains and the commercialization of data are seldom investigated. Thus, based on outcomes of the Horizon2020 PANELFIT project, this work discusses current ethical issues related to cybersecurity. Utilizing expert workshops and encounters as well as a scientific literature review, ethical issues are mapped on individual steps of digital service chains. Not surprisingly, the results demonstrate that ethical challenges cannot be resolved in a general way, but need to be discussed individually and with respect to the ethical principles that are violated in the specific step of the service chain. Nevertheless, our results support practitioners by providing and discussing a list of ethical challenges to enable legally compliant as well as ethically acceptable solutions in the future.",,,,,,,,,,,0.1746987951807229,,0.0,0.164567133488386,,,,,,,,,,,,,,,
52,The ethical agency of AI developers,AI and Ethics,,,10.1007/s43681-022-00256-3,Tricia A. GriffinBrian Patrick GreenJos V. M. Welie,2023.0,http://link.springer.com/article/10.1007/s43681-022-00256-3,Article,"Public and academic discourse about the ethics of artificial intelligence, machine learning, and data science has largely focused on the algorithms and the companies deploying them. Little attention has been paid to the ethical agency of the developers. This study is the first of its kind that centers developers in the ethical environment. Semi-structured interviews with 40 developers about the ethics of being a developer revealed more than 20 themes, 3 of which are the subject of this paper: ethics in the occupational ecosystem, developer ethical agency, and the characteristics of an ethical developer. These themes reveal significant gaps between how developers perceive themselves and the reality of their work experiences. Their ethical agency is likewise variable. They have some authority to intervene for ethical reasons in systems they work on, but they often do not realize just how many ethical decisions they make. Nonetheless, this study reveals a growing ethical wisdom in this community, one that needs to be surfaced and nurtured by engaging with developers.",,,,,,,,,,,0.1867469879518072,,0.6666666666666666,0.2018117312298521,,,,,,,,,,,,,,,
55,Teaching Surgical Ethics,Difficult Decisions in Surgical Ethics,,,10.1007/978-3-030-84625-1_11,"Elisheva T. A. NemetzSabha Ganai MD, PhDKaren Devon M.D.C.M.",2022.0,http://link.springer.com/chapter/10.1007/978-3-030-84625-1_11,Chapter,"Surgical ethics education is essential to the practice of surgery and has an evolving small body of literature. Teaching surgical ethics occurs informally as well as formally. Informal surgical ethics education includes role-modelling, bedside teaching, and the hidden curriculum. Formal surgical ethics education includes modalities such as: lectures, case-based learning, small-group learning, role-play, standardized patients, and ethics morbidity and mortality rounds. In this chapter we identify challenges to implementing ethics education and discuss assessment in surgical ethics education.",,,,,,,,,,,0.1794871794871795,,0.6666666666666666,0.1983153722284157,,,,,,,,,,,,,,,
56,Ethical Challenges of Integrating AI into Healthcare,Artificial Intelligence in Medicine,,,10.1007/978-3-030-64573-1_337,Lisa Soleymani Lehmann,2022.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-64573-1_337,ReferenceWorkEntry,"Artificial intelligence (AI) is revolutionizing healthcare, and with this transformative innovation comes the challenge of responsibly integrating AI into clinical care. AI has the potential to improve patient outcomes, increase the efficiency of healthcare diagnosis and treatment, and lower the cost of care. Leveraging these benefits, however, requires attention to the ethical risks raised by this new technology. In this chapter, I illuminate the primary ethical challenges of AI in healthcare and argue that in order to fully realize the potential of AI to improve individual and population health, we need to align AI with the ethical principles of medicine. The ethical challenges posed by AI can be categorized into the four principles commonly used in healthcare ethics: respect for autonomy, beneficence, nonmaleficence, and justice [1]. Careful consideration of the implications of these principles will allow us to maximize the benefits of AI in healthcare.",,,,,,,,,,,0.1655172413793103,,0.5714285714285714,0.1861702640432649,,,,,,,,,,,,,,,
57,Ethical Challenges of Integrating AI into Healthcare,Artificial Intelligence in Medicine,,,10.1007/978-3-030-58080-3_337-2,Lisa Soleymani Lehmann,2022.0,http://link.springer.com/referenceworkentry/10.1007/978-3-030-58080-3_337-2,ReferenceWorkEntry,"Artificial intelligence (AI) is revolutionizing healthcare, and with this transformative innovation comes the challenge of responsibly integrating AI into clinical care. AI has the potential to improve patient outcomes, increase the efficiency of healthcare diagnosis and treatment, and lower the cost of care. Leveraging these benefits, however, requires attention to the ethical risks raised by this new technology. In this chapter, I illuminate the primary ethical challenges of AI in healthcare and argue that in order to fully realize the potential of AI to improve individual and population health, we need to align AI with the ethical principles of medicine. The ethical challenges posed by AI can be categorized into the four principles commonly used in healthcare ethics: respect for autonomy, beneficence, nonmaleficence, and justice [1]. Careful consideration of the implications of these principles will allow us to maximize the benefits of AI in healthcare.",,,,,,,,,,,0.1655172413793103,,0.5714285714285714,0.1861702640432649,,,,,,,,,,,,,,,
