Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,Date,Date Added,Date Modified,Pages,Extra,Key
Does Use of a Decision-Making Model Improve the Quality of School Psychologists? Ethical Decisions?,Ethics and Behavior,31,2,10.1080/10508422.2020.1715802,"Boccio, Dana E.",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,119–135,Publisher: Routledge,S7BB5NZ8
Does This Apply Here?: Ethical Considerations in Transnational Supervision Settings,Ethics and Behavior,31,4,10.1080/10508422.2020.1754215,"Schultz, Tammy; Yoo, Hana; Baraka, Mandy Kellums; Watson, Terri",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,270–283,Publisher: Routledge,FSMQQA7Z
Ethically Uncharted Territory: Providing Psychological Services to Parents in Pediatric Settings,Ethics and Behavior,31,2,10.1080/10508422.2020.1772063,"Andrews, Jack H.",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,77–90,Publisher: Routledge,8F2VIFT9
Bridging the Gap: Ethical Considerations of Providing Psychological Assessment Results in Research Studies,Ethics and Behavior,31,6,10.1080/10508422.2020.1799793,"Kirsch, Alexandra C.; Zaccariello, Michael J.; McCormick, Jennifer B.; Sharp, Richard R.; Flick, Randall P.; Warner, David O.",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,381–394,Publisher: Routledge,YJXJFCQI
Ethical Challenges in the Covid-19 Research Context: A Toolkit for Supporting Analysis and Resolution,Ethics and Behavior,31,1,10.1080/10508422.2020.1800469,"Calia, Clara; Reid, Corinne; Guerra, Cristóbal; Oshodi, Abdul-Gafar; Marley, Charles; Amos, Action; Barrera, Paulina; Grant, Liz",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,60–75,Publisher: Routledge,B5UPFVEQ
Ethics in Integrated Health Care: Social Workers? Perspective,Ethics and Behavior,32,3,10.1080/10508422.2021.1883431,"Weng, Suzie S.",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,259–272,Publisher: Routledge,GBMX6WRF
"Managerial Ethical Leadership, Ethical Climate and Employee Ethical Behavior: Does Moral Attentiveness Matter?",Ethics and Behavior,31,8,10.1080/10508422.2021.1937628,"Fattah, Fadi Abdel Muniem Abdel; Morales-Sánchez, Rafael; Ruiz-Palomino, Pablo; Halbusi, Hussam Al",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,604–627,Publisher: Routledge,BMNWBTMZ
The Ethics of Self-Tracking. A Comprehensive Review of the Literature,Ethics and Behavior,33,4,10.1080/10508422.2022.2082969,"MichałWieczorek; O'Brolchain, Fiachra; Saghai, Yashar; Gordijn, Bert",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,239–271,Publisher: Routledge (Taylor & Francis),GB5JE57K
Practice of Common Ethical Standards in the Field of Counseling and Psychotherapy in Mainland China,Ethics and Behavior,33,3,10.1080/10508422.2022.2118120,"An, Qin; Lin, Xiubin; Sang, Zhiqin; Qian, Mingyi",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,183–192,Publisher: Routledge,6HYXX62I
Ethical Decision-Making: A Culture Influenced Virtue Specific Model for Multinational Corporations,Ethics and Behavior,33,8,10.1080/10508422.2022.2122060,"Ellestad, Andrew I.; Winton, Bradley G.",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,656–671,Publisher: Routledge,XKJ52K7T
How Do Healthcare Professionals Respond to Ethical Challenges Regarding Information Management? A Review of Empirical Studies,Global Bioethics,32,1,10.1080/11287462.2021.1909820,"Ewuoso, Cornelius; Hall, Susan; Dierickx, Kris",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,67–84,Publisher: Routledge,UYWRRQKZ
? \emphIt is Very Difficult in This Business If You Want to Have a Good Conscience?: Pharmaceutical Governance and on-the-Ground Ethical Labour in Ghana,Global Bioethics,33,1,10.1080/11287462.2022.2103899,"Hampshire, Kate; Mariwah, Simon; Amoako-Sakyi, Daniel; Hamill, Heather",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,103–121,Publisher: Taylor & Francis Group,K9FDBJXC
"Epistemic Justice, African Values and Feedback of Findings in African Genomics Research",Global Bioethics,33,1,10.1080/11287462.2022.2124019,"Ewuoso, Cornelius; Wonkam, Ambroise; Vries, Jantina de",2022,,journalArticle,,,2022,2023-11-06 14:09:51,2023-11-06 14:09:51,122–132,Publisher: Taylor & Francis Group,3QHHWKJE
Ethics in Practice in Asylum Law: Asylum Legal Aid Lawyers? Moral Reasoning in Respect of ?Hopeless Cases?,Legal Ethics,25,1,10.1080/1460728x.2022.2124068,"Butter, Tamara",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,26–43,,FRHF738U
"The Ai Commander Problem: Ethical, Political, and Psychological Dilemmas of Human-Machine Interactions in Ai-Enabled Warfare",Journal of Military Ethics,21,3,10.1080/15027570.2023.2175887,"Johnson, James",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,246–271,,6CBLLMRU
Autonomous Ai Systems in Conflict: Emergent Behavior and its Impact on Predictability and Reliability,Journal of Military Ethics,22,1,10.1080/15027570.2023.2213985,"Trusilo, Daniel",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,2–17,,UAVJVMDI
"Artificial Intelligence, Social Media and Depression. A New Concept of Health-Related Digital Autonomy",American Journal of Bioethics,21,7,10.1080/15265161.2020.1863515,"Laacke, Sebastian; Mueller, Regina; Schomerus, Georg; Salloch, Sabine",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,4–20,Publisher: Taylor & Francis,QUBBMERR
"Precision Medicine, Data, and the Anthropology of Social Status",American Journal of Bioethics,21,4,10.1080/15265161.2021.1891345,"Desmond, Hugh",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,80–83,Publisher: Taylor & Francis,FS53J9VE
Preparing for the Next Generation of Ethical Challenges Concerning Heritable Human Genome Editing,American Journal of Bioethics,21,6,10.1080/15265161.2021.1913894,"Klitzman, Robert",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,1–4,Publisher: Taylor & Francis,T4277WCP
Is Health-Related Digital Autonomy Setting the Autonomy Bar Too High?,American Journal of Bioethics,21,7,10.1080/15265161.2021.1926584,"Slack, Stephanie K.",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,40–42,Publisher: Taylor & Francis,Q4JGDLCC
"Consultation with Doctor Twitter: Consent Fatigue, and the Role of Developers in Digital Medical Ethics",American Journal of Bioethics,21,7,10.1080/15265161.2021.1926595,"Ranisch, Robert",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,24–25,Publisher: Taylor & Francis,ELIPLZNX
Scrutinizing Privacy in Multi-Omics Research: How to Provide Ethical Grounding for the Identification of Privacy-Relevant Data Properties,American Journal of Bioethics,21,12,10.1080/15265161.2021.1991041,"Safarlou, C. W.; Bredenoord, A. L.; Vermeulen, R.; Jongsma, K. R.",2021,,journalArticle,,,2021,2023-11-06 14:05:11,2023-11-06 14:05:11,73–75,Publisher: Taylor & Francis,LDSPNAVA
Conversational Artificial Intelligence in Psychotherapy: A New Therapeutic Tool or Agent?,American Journal of Bioethics,23,5,10.1080/15265161.2022.2048739,"Sedlakova, Jana; Trachsel, Manuel",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,4–13,Publisher: Taylor & Francis,Z4BEZ9GU
Ethics Consultation: Data and the Path to Professionalization,American Journal of Bioethics,22,4,10.1080/15265161.2022.2052475,"Cohn, Felicia",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,1–4,Publisher: Taylor & Francis,RBU3E9L8
Emerging Paradigms for Ethical Review of Research Using Artificial Intelligence,American Journal of Bioethics,22,5,10.1080/15265161.2022.2055206,"Shaw, James",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,42–44,Publisher: Taylor & Francis,3KNGCHP3
Challenges of Local Ethics Review in a Global Healthcare Ai Market,American Journal of Bioethics,22,5,10.1080/15265161.2022.2055214,"Char, Danton",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,39–41,Publisher: Taylor & Francis,AMKW7LZF
Think Pragmatically: Investigators? Obligations to Patient-Subjects When Research is Embedded in Care,American Journal of Bioethics,23,8,10.1080/15265161.2022.2063435,"Morain, Stephanie R.; Largent, Emily A.",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,10–21,Publisher: Taylor & Francis,DB2GZP3Z
The Ai Needed for Ethical Decision Making Does Not Exist,American Journal of Bioethics,22,7,10.1080/15265161.2022.2075052,"Barwise, Amelia; Pickering, Brian",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,46–49,Publisher: Taylor & Francis,MBWBICT6
How to Use Ai Ethically for Ethical Decision-Making,American Journal of Bioethics,22,7,10.1080/15265161.2022.2075968,"Demaree-Cotton, Joanna; Earp, Brian D.; Savulescu, Julian",2022,,journalArticle,,,2022,2023-11-06 14:09:47,2023-11-06 14:09:47,1–3,Publisher: Taylor & Francis,VQNZPCXH
Wrongful Birth: Ai-Tools for Moral Decisions in Clinical Care in the Absence of Disability Ethics,American Journal of Bioethics,22,7,10.1080/15265161.2022.2075971,"Sabatello, Maya",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,43–46,Publisher: Taylor & Francis,KJXFMQPU
When Protection From Risk-to-Self Causes Harm: A Brief Analysis of Restraint Use to Prevent Elopement,American Journal of Bioethics,22,7,10.1080/15265161.2022.2075978,"Patten, Chelsey; Chaucer, Benjamin",2022,,journalArticle,,,2022,2023-11-06 14:09:50,2023-11-06 14:09:50,97–100,Publisher: Taylor & Francis,TI4M3T5L
Differences in Degree-Not-Kind-of Responsibility Within Conversational Artificial Intelligence,American Journal of Bioethics,23,5,10.1080/15265161.2023.2191027,"Huber, Kathryn",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,31–32,Publisher: Taylor & Francis,KFT493X6
"Is the Algorithm Good in a Bad World, or has It Learned to Be Bad? The Ethical Challenges of ?Locked? Versus ?Continuously Learning? and ?Autonomous? Versus ?Assistive? Ai Tools in Healthcare",American Journal of Bioethics,23,5,10.1080/15265161.2023.2191052,"Youssef, Alaa; Abramoff, Michael; Char, Danton",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,43–45,Publisher: Taylor & Francis,XYAAMNWH
Ethical Issues in the Transition to Ecmo as a Destination Therapy,American Journal of Bioethics,23,6,10.1080/15265161.2023.2201193,"Doernberg, Samuel N.; Soled, Derek R.; Truog, Robert D.",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,18–20,Publisher: Taylor & Francis,49RGTVEC
The Human and Humanity That Differentiate Withholding From Withdrawing Life-Sustaining Therapy: An Ecmo Bridge to Nowhere,American Journal of Bioethics,23,6,10.1080/15265161.2023.2201206,"Rubin, Jonah; Robinson, Ellen; Rubin, Emily B.",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,62–64,Publisher: Taylor & Francis,W6A5Q6DB
"Rare Disease, Advocacy and Justice: Intersecting Disparities in Research and Clinical Care",American Journal of Bioethics,23,7,10.1080/15265161.2023.2207500,"Halley, Meghan C.; Halverson, Colin M. E.; Tabor, Holly K.; Goldenberg, Aaron J.",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,17–26,Publisher: Taylor & Francis,UDG65T2L
Ethical Responsibilities for Companies That Process Personal Data,American Journal of Bioethics,23,11,10.1080/15265161.2023.2209535,"McCoy, Matthew S.; Allen, Anita L.; Kopp, Katharina; Mello, Michelle M.; Patil, D. J.; Ossorio, Pilar; Joffe, Steven; Emanuel, Ezekiel J.",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,11–23,Publisher: Taylor & Francis,RAMQZWLG
"Some Treatments Over Objection, Not Others, Are Ethically Justifiable When Managing Anorexia Nervosa",American Journal of Bioethics,23,8,10.1080/15265161.2023.2217119,"Bunch, Lauren",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,99–101,Publisher: Taylor & Francis,SD3Z7AL5
Pragmatic Research and Clinical Duties: Solutions Through Precision Ai-Enabled Clinically Embedded Research,American Journal of Bioethics,23,8,10.1080/15265161.2023.2217126,"Michelson, Kelly; Venables, Amanda; Steans, Russell; Starren, Justin; Sehgal, Shruti; Baumann, Matthew John; Friedman, Emma",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,50–52,Publisher: Taylor & Francis,GTMEHN9P
A Neuroethical Analysis of Pragmatic Clinical Trials: Balancing Diverse Interests Associated with Collateral Findings,American Journal of Bioethics,23,8,10.1080/15265161.2023.2217128,"Afolabi, Ikeolu O.; Afolabi, Michael O. S.",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,66–68,Publisher: Taylor & Francis,X4QMXW96
Should the Incapacitated Patient?s Prior Refusal of Dialysis Be Honored? The Value of a Systematic Approach to Gathering Data in an Ethics Consultation,American Journal of Bioethics,23,8,10.1080/15265161.2023.2218251,"Moss, Alvin H.",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,90–91,Publisher: Taylor & Francis,485MHTV6
Challenges in the Ethics and Implementation of Learning Health Care Systems,American Journal of Bioethics,23,8,10.1080/15265161.2023.2223033,"Crane, Matthew; Morain, Stephanie; Kass, Nancy; Faden, Ruth; Califf, Robert M.",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,1–4,Publisher: Taylor & Francis,6UC4AEDU
Integrating Social Determinants of Health Into Ethical Digital Simulations,American Journal of Bioethics,23,9,10.1080/15265161.2023.2237443,"Kostick-Quenet, Kristin; Rahimzadeh, Vasiliki; Anandasabapathy, Sharmila; Hurley, Meghan; Sonig, Anika; Mcguire, Amy",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,57–60,Publisher: Taylor & Francis,YSMSNUM2
Digital Simulacra Mark an Ontological Shift in Biomedicine with Far-Reaching Consequences for Real Patients,American Journal of Bioethics,23,9,10.1080/15265161.2023.2237458,"Haidar, Hazar; Encheva, Luyba; Kamenova, Kalina",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,81–84,Publisher: Taylor & Francis,CUIVUN9Y
Digital Simulacra and the Call for Epistemic Responsibility: An Ubuntu Perspective,American Journal of Bioethics,23,9,10.1080/15265161.2023.2237467,"Ferlito, Brandon; Proost, Michiel De",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,91–93,Publisher: Taylor & Francis,IAWLANAZ
Generative Ai and Ethical Analysis,American Journal of Bioethics,23,10,10.1080/15265161.2023.2249852,"McMillan, John",2023,,journalArticle,,,2023,2023-11-06 14:10:23,2023-11-06 14:10:23,42–44,Publisher: Taylor & Francis,UZQYHVEQ
"Generative Ai, Specific Moral Values: A Closer Look at Chatgpt?s New Ethical Implications for Medical Ai",American Journal of Bioethics,23,10,10.1080/15265161.2023.2250311,"Victor, Gavin; Bélisle-Pipon, Jean-Christophe; Ravitsky, Vardit",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,65–68,Publisher: Taylor & Francis,HINEVSKZ
Large Language Models and Biorisk,American Journal of Bioethics,23,10,10.1080/15265161.2023.2250333,"D?Alessandro, William; Lloyd, Harry R.; Sharadin, Nathaniel",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,115–118,Publisher: Taylor & Francis,W5RNTZGS
No Means No: Respecting Dignity as the Fourth Principle of Ethical Data Extraction,American Journal of Bioethics,23,11,10.1080/15265161.2023.2256272,"Gavina, Tessa; Cavolo, Alice",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,59–60,Publisher: Taylor & Francis,TZ3YTSUQ
Strategies for Data Ethics Governance: Elevating Patient and Community Perspectives,American Journal of Bioethics,23,11,10.1080/15265161.2023.2256277,"Stroud, Austin M.; Wise, Journey L.; Curtis, Susan H.; McGowan, Michelle L.",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,48–50,Publisher: Taylor & Francis,FFTNSQJR
Applying the Ethical Data Practices Framework to Digital Therapeutics,American Journal of Bioethics,23,11,10.1080/15265161.2023.2256280,"Kane, Odia; Ferryman, Kadija",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,53–56,Publisher: Taylor & Francis,2UT7VAZN
How a Us Federal Privacy Law Covering Digital Health Services Can Put Autonomy Back Into the Hands of the Patient,American Journal of Bioethics,23,11,10.1080/15265161.2023.2256284,"Jin, Jennifer Eunbee",2023,,journalArticle,,,2023,2023-11-06 14:10:26,2023-11-06 14:10:26,45–47,Publisher: Taylor & Francis,CN72B4CI
Blockchain Technology for Ethical Data Practices: Decentralized Biobanking Pilot Study,American Journal of Bioethics,23,11,10.1080/15265161.2023.2256286,"Gross, Marielle; Hood, Amelia J.; Sanchez, William Lancelot",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,60–63,Publisher: Taylor & Francis,YVMRJ9Z4
Digital Privacy and Data Protection: From Ethical Principles to Action,American Journal of Bioethics,23,11,10.1080/15265161.2023.2256292,"Gupta, Ravi",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,24–26,Publisher: Taylor & Francis,KSBXM757
The Ethical Data Practices Framework and its Implications for Data Privacy Relations Between the United States and the European Union,American Journal of Bioethics,23,11,10.1080/15265161.2023.2256618,"Rahimzadeh, Vasiliki",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,29–33,Publisher: Taylor & Francis,B4Q7ERWB
Translating Commercial Health Data Privacy Ethics Into Change,American Journal of Bioethics,23,11,10.1080/15265161.2023.2263286,"Spector-Bagdady, Kayte; Price, I. I. W. Nicholson",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,7–10,Publisher: Taylor & Francis,86W2CEBJ
"Call for Reflections: \emphGlobal Ethics Forum: Challenges, Replies, Alternatives",Journal of Global Ethics,19,2,10.1080/17449626.2023.2250568,"Wells, Thomas R.; Palmer, Eric; Koggel, Christine M.; Keleher, Lori; Agisilaou, Vandra des GasperHarris",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,112–113,Publisher: Routledge,UQW7EFY3
?Wicked Problems? as Catalysts for Learning in Educational Ethics Games,Ethics and Education,16,4,10.1080/17449642.2021.1979283,"Nardo, Aline; Gaydos, Matthew",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,492–509,Publisher: Routledge,L5A57DXL
"Indigenous, Feminine and Technologist Relational Philosophies in the Time of Machine Learning",Ethics and Education,18,1,10.1080/17449642.2023.2188714,"Richardson, Troy A.",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,6–22,Publisher: Routledge,MFRXCFIL
From Ethical Challenges to Opportunities: Reflections on Participatory and Collaborative Research with Refugees in Australia,Ethics and Social Welfare,15,2,10.1080/17496535.2020.1825765,"Dantas, Jaya A. R.; Gower, Shelley",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,185–199,,P2TJLBUF
Care Ethics as a Challenge to the Structural Oppression Surrounding Care,Ethics and Social Welfare,15,2,10.1080/17496535.2020.1867877,"Kim, Hee-Kang",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,151–166,,2FRSPYKB
"Universal Credit, Lone Mothers and Poverty: Some Ethical Challenges for Social Work with Children and Families",Ethics and Social Welfare,16,1,10.1080/17496535.2021.1939756,"Carey, Malcolm; Bell, Sophie",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,3–18,,ANRHTTBB
"Archives, Epistemic Injustice and Knowing the Past",Ethics and Social Welfare,15,4,10.1080/17496535.2021.1961004,"Landström, Karl",2021,,journalArticle,,,2021,2023-11-06 14:05:12,2023-11-06 14:05:12,379–394,,XMSBUWID
"Ethical Issues in Hospital-Based Social Work During the Covid-19 Pandemic: A Case From Uganda, with a Commentary",Ethics and Social Welfare,17,1,10.1080/17496535.2022.2117014,"Adia, Denis; Banks, Sarah",2023,,journalArticle,,,2023,2023-11-06 14:10:29,2023-11-06 14:10:29,90–97,,UDWEBNRQ
Law Versus Morality: Cases and Commentaries on Ethical Issues in Social Work Practice,Ethics and Social Welfare,17,1,10.1080/17496535.2022.2117015,"Odo, Casmir Obinna; Nwatu, Uche Louisa; Makkieh, Manal; Ametepe, Perfect Elikplim Kobla; Banks, Sarah",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,83–89,,9XSWZEI8
Ethical Issues in Participatory Action Research on Covid-Appropriate Behaviour and Vaccine Hesitancy in India: A Case with Commentaries,Ethics and Social Welfare,17,2,10.1080/17496535.2023.2209363,"Narayanan, Pradeep; Brear, Michelle; Shabangu, Pinky; Groot, Barbara; Eijnde, Charlotte van den; Banks, Sarah",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,221–228,,PYH333NI
Researching with Care ? Participatory Health Research with Afghan Women Refugees in Germany During the Covid-19 Pandemic: A Case with Commentaries,Ethics and Social Welfare,17,2,10.1080/17496535.2023.2209364,"Tayebi, Naseem S.; Köppen, Marilena von; Plunger, Petra; Börner, Susanne; Banks, Sarah",2023,,journalArticle,,,2023,2023-11-06 14:10:25,2023-11-06 14:10:25,229–235,,A88QELJU
"The Evolving Esports Landscape: Technology Empowerment, Intelligent Embodiment, and Digital Ethics","Sport, Ethics and Philosophy",17,3,10.1080/17511321.2023.2168039,"Xu, Yujun",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,356–368,,HSJWZ37I
Surveillance in Next-Generation Personalized Healthcare: Science and Ethics of Data Analytics in Healthcare,The New Bioethics,27,4,10.1080/20502877.2021.1993055,"Althobaiti, Kamal",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,295–319,,QJCZ727W
Data Ethics in Digital Health and Genomics,The New Bioethics,27,4,10.1080/20502877.2021.1996965,"Karabekmez, Muhammed Erkan",2021,,journalArticle,,,2021,2023-11-06 14:05:09,2023-11-06 14:05:09,320–333,,VEQ6XXYR
"Data, Disability and Research on the Dead",The New Bioethics,27,4,10.1080/20502877.2021.2004753,"Stammers, Trevor",2021,,journalArticle,,,2021,2023-11-06 14:05:13,2023-11-06 14:05:13,293–294,,6TQRBR99
Ethical Challenges Associated with Pathogen and Host Genetics in Infectious Disease,The New Bioethics,29,1,10.1080/20502877.2022.2109697,"Milne, Richard; Patch, Christine",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,24–36,,IWTWIPSP
Psychological and Ethical Challenges of Introducing Whole Genome Sequencing Into Routine Newborn Screening: Lessons Learned From Existing Newborn Screening,The New Bioethics,29,1,10.1080/20502877.2022.2124582,"Ulph, Fiona; Bennett, Rebecca",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,52–74,,QYWFAL84
Understanding Conscientious Objection and the Acceptability of its Practice in Primary Care,The New Bioethics,29,2,10.1080/20502877.2022.2155099,"Williams, Anne",2022,,journalArticle,,,2022,2023-11-06 14:09:49,2023-11-06 14:09:49,156–180,,H2HM9CI6
Induced Pluripotent Stem Cell-Based Systems for Personalising Epilepsy Treatment: Research Ethics Challenges and New Insights for the Ethics of Personalised Medicine,American Journal of Bioethics Neuroscience,13,2,10.1080/21507740.2021.1949404,"Walker, Mary Jean; Nielsen, Jane; Goddard, Eliza; Harris, Alex; Hutchison, Katrina",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,120–131,,JA5G8GIY
Microbiome in Precision Psychiatry: An Overview of the Ethical Challenges Regarding Microbiome Big Data and Microbiome-Based Interventions,American Journal of Bioethics Neuroscience,13,4,10.1080/21507740.2021.1958096,"Ahmed, Eman; Hens, Kristien",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,270–286,,ADLZHWYR
Ethical Challenges in the Commercialization of Neurotechnology: Contending with Competing Priorities,American Journal of Bioethics Neuroscience,13,1,10.1080/21507740.2021.2001083,"McIntosh, Tristan; DuBois, James M.; Perlmutter, Joel S.",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,60–62,,47LL76UA
Making Progress in the Ethics of Digital and Virtual Technologies for Mental Health,American Journal of Bioethics Neuroscience,13,3,10.1080/21507740.2022.2086648,"Singh, Ilina",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,141–143,,IS4DD52V
Why Canada?s Artificial Intelligence and Data Act Needs ?Mental Data?,American Journal of Bioethics Neuroscience,14,2,10.1080/21507740.2023.2188302,"White, Dylan J.; Skorburg, Joshua August",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,101–103,,SPWKZCM3
How Anesthesiologists Experience and Negotiate Ethical Challenges From Drug Shortages,AJOB Empirical Bioethics,12,2,10.1080/23294515.2020.1839596,"Sinow, Carolyn; Burgart, Alyssa; Char, Danton S.",2021,,journalArticle,,,2021,2023-11-06 14:05:10,2023-11-06 14:05:10,84–91,,VX4CX5L6
Ethical Challenges Experienced by Healthcare Workers Delivering Clinical Care During Health Emergencies and Disasters: A Rapid Review of Qualitative Studies and Thematic Synthesis,AJOB Empirical Bioethics,13,3,10.1080/23294515.2022.2063996,"Dittborn, Mariana; Micolich, Constanza; Rojas, Daniela; Salas, Sofía P.",2022,,journalArticle,,,2022,2023-11-06 14:09:48,2023-11-06 14:09:48,179–195,,44NXYXQ2
Ethical Challenges Experienced by Clinical Ethicists During Covid-19,AJOB Empirical Bioethics,14,1,10.1080/23294515.2022.2110965,"Ulrich, Connie M.; Deatrick, Janet A.; Wool, Jesse; Huang, Liming; Berlinger, Nancy; Grady, Christine",2023,,journalArticle,,,2023,2023-11-06 14:10:24,2023-11-06 14:10:24,1–14,,6GN9UXI3
Offering and Returning Secondary Findings in the Context of Exome Sequencing for Hearing Loss: Clinicians? Views and Experiences,AJOB Empirical Bioethics,14,2,10.1080/23294515.2022.2160507,"Notini, Lauren; Gaff, Clara; Savulescu, Julian; Vears, Danya F.",2023,,journalArticle,,,2023,2023-11-06 14:10:27,2023-11-06 14:10:27,74–83,,NS2M4XRW
How Interactive Visualizations Compare to Ethical Frameworks as Stand-Alone Ethics Learning Tools for Health Researchers and Professionals,AJOB Empirical Bioethics,14,4,10.1080/23294515.2023.2201479,"Sleigh, Joanna; Ormond, Kelly; Schneider, Manuel; Stern, Elsbeth; Vayena, Effy",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,197–207,,HLMGCYDG
Investigating Medical Students? Navigation of Ethical Dilemmas: Understanding the Breakdown and How to Solve It,AJOB Empirical Bioethics,14,4,10.1080/23294515.2023.2224589,"Wesevich, Adam J.; Gulbas, Lauren E.; Ryder, Hilary F.",2023,,journalArticle,,,2023,2023-11-06 14:10:28,2023-11-06 14:10:28,227–236,,Z4MY9GVJ
