,Unnamed: 0,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,ISBN,ISSN,Date,Date Added,Date Modified,Pages,Series,Publisher,Key,Eligibility_Abstract_Score,Eligibility_Keywords_Score,Eligibility_Title_Score,Eligibility_Score
146,146,Data Curation as Collective Action during COVID‐19,J. Assoc. Inf. Sci. Technol.,72.0,3,10.1002/asi.24406,"Shankar, Kalpana; Jeng, Wei; Thomer, Andrea; Weber, Nicholas; Yoon, Ayoung",2021.0,https://doi.org/10.1002/asi.24406,journalArticle,"In this commentary, the authors, an international group data curation researchers and educators, reflect on some of the challenges and opportunities for data curation in the wake of the COVID‐19 pandemic. We focus on some topics of particular interest to the information science community: data infrastructures for scholarly communication and research, the politicization of data curation and visualization for public‐facing “dashboards,” and human subjects research and policies. We conclude with some areas of opportunity and need, including broader and richer data curation education in the information schools, the establishment of better data management policy implementations by research funders, the award of formal academic credit for data curation activities and data sharing, and engagement in cooperative action around data ethics and security.",,,2330-1635,2021-02,2023-11-06 01:30:04,2023-11-06 01:30:04,280–284,,,JN5XWVX8,0.0909090909090909,0.0,0.1428571428571428,0.0937791490277678
147,147,"The AI Gambit: Leveraging Artificial Intelligence to Combat Climate Change—opportunities, Challenges, and Recommendations",AI Soc.,38.0,1,10.1007/s00146-021-01294-x,"Cowls, Josh; Tsamados, Andreas; Taddeo, Mariarosaria; Floridi, Luciano",2021.0,https://doi.org/10.1007/s00146-021-01294-x,journalArticle,"In this article, we analyse the role that artificial intelligence (AI) could play, and is playing, to combat global climate change. We identify two crucial opportunities that AI offers in this domain: it can help improve and expand current understanding of climate change, and it can contribute to combatting the climate crisis effectively. However, the development of AI also raises two sets of problems when considering climate change: the possible exacerbation of social and ethical challenges already associated with AI, and the contribution to climate change of the greenhouse gases emitted by training data and computation-intensive AI systems. We assess the carbon footprint of AI research, and the factors that influence AI’s greenhouse gas (GHG) emissions in this domain. We find that the carbon footprint of AI research may be significant and highlight the need for more evidence concerning the trade-off between the GHG emissions generated by AI research and the energy and resource efficiency gains that AI can offer. In light of our analysis, we argue that leveraging the opportunities offered by AI for global climate change whilst limiting its risks is a gambit which requires responsive, evidence-based, and effective governance to become a winning strategy. We conclude by identifying the European Union as being especially well-placed to play a leading role in this policy response and provide 13 recommendations that are designed to identify and harness the opportunities of AI for combatting climate change, while reducing its impact on the environment.",Digital ethics; Artificial intelligence; Carbon footprint; Climate change; Digital governance; Environment; Sustainability,,0951-5666,2021-10,2023-11-06 01:30:01,2023-11-06 01:30:01,283–307,,,4WPHP9IN,0.0617283950617283,0.5,0.0769230769230769,0.0921841727642021
148,148,"Democratising AI: Multiple Meanings, Goals, and Methods","Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604693,"Seger, Elizabeth; Ovadya, Aviv; Siddarth, Divya; Garfinkel, Ben; Dafoe, Allan",2023.0,https://doi.org/10.1145/3600211.3604693,conferencePaper,"Numerous parties are calling for “the democratisation of AI”, but the phrase is used to refer to a variety of goals, the pursuit of which sometimes conflict. This paper identifies four kinds of “AI democratisation” that are commonly discussed: (1) the democratisation of AI use, (2) the democratisation of AI development, (3) the democratisation of AI profits, and (4) the democratisation of AI governance. Numerous goals and methods of achieving each form of democratisation are discussed. The main takeaway from this paper is that AI democratisation is a multifarious and sometimes conflicting concept that should not be conflated with improving AI accessibility. If we want to move beyond ambiguous commitments to “democratising AI”, to productive discussions of concrete policies and trade-offs, then we need to recognise the principal role of the democratisation of AI governance in navigating tradeoffs and risks across decisions around use, development, and profits.",AI Governance; AI Benefits; AI Democratisation; Misuse of AI; Model Sharing,9798400702310,,2023,2023-11-06 01:29:58,2023-11-06 01:29:58,715–722,AIES '23,Association for Computing Machinery,YTJVXS4A,0.0680272108843537,0.3636363636363636,0.1428571428571428,0.0918588815234327
149,149,Privacy Preserving Machine Learning Systems,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3539530,"EL MESTARI, Soumia Zohra",2022.0,https://doi.org/10.1145/3514094.3539530,conferencePaper,"Machine learning(ML) tools are among the promising data-driven techniques that can help solve many real-life problems. However these tools rely on the collection of large volumes of data, which raises many privacy concerns and more broadly trustworthiness concerns. Privacy Preserving technologies aim at solving the issue by integrating privacy enhancing technologies (PETs) within the machine learning pipelines.",differential privacy; homomorphic encryption; secure multi-party computation,978-1-4503-9247-1,,2022,2023-11-06 01:29:50,2023-11-06 01:29:50,898,AIES '22,Association for Computing Machinery,B4R4CSFU,0.0701754385964912,0.1428571428571428,0.2,0.0910127100114263
150,150,What People Think AI Should Infer From Faces,"Proceedings of the 2022 ACM Conference on Fairness, Accountability, and Transparency",,,10.1145/3531146.3533080,"Engelmann, Severin; Ullstein, Chiara; Papakyriakopoulos, Orestis; Grossklags, Jens",2022.0,https://doi.org/10.1145/3531146.3533080,conferencePaper,"Faces play an indispensable role in human social life. At present, computer vision artificial intelligence (AI) captures and interprets human faces for a variety of digital applications and services. The ambiguity of facial information has recently led to a debate among scholars in different fields about the types of inferences AI should make about people based on their facial looks. AI research often justifies facial AI inference-making by referring to how people form impressions in first-encounter scenarios. Critics raise concerns about bias and discrimination and warn that facial analysis AI resembles an automated version of physiognomy. What has been missing from this debate, however, is an understanding of how “non-experts” in AI ethically evaluate facial AI inference-making. In a two-scenario vignette study with 24 treatment groups, we show that non-experts (N = 3745) reject facial AI inferences such as trustworthiness and likability from portrait images in a low-stake advertising and a high-stake hiring context. In contrast, non-experts agree with facial AI inferences such as skin color or gender in the advertising but not the hiring decision context. For each AI inference, we ask non-experts to justify their evaluation in a written response. Analyzing 29,760 written justifications, we find that non-experts are either “evidentialists” or “pragmatists”: they assess the ethical status of a facial AI inference based on whether they think faces warrant sufficient or insufficient evidence for an inference (evidentialist justification) or whether making the inference results in beneficial or detrimental outcomes (pragmatist justification). Non-experts’ justifications underscore the normative complexity behind facial AI inference-making. AI inferences with insufficient evidence can be rationalized by considerations of relevance while irrelevant inferences can be justified by reference to sufficient evidence. We argue that participatory approaches contribute valuable insights for the development of ethical AI in an increasingly visual data culture.",artificial intelligence; computer vision; human faces; participatory AI ethics,978-1-4503-9352-2,,2022,2023-11-06 01:30:02,2023-11-06 01:30:02,128–141,FAccT '22,Association for Computing Machinery,S3ZRYKFD,0.0808080808080808,0.3333333333333333,0.125,0.0906227810989715
151,151,The Role of Governance in Bridging AI Responsibility Gaps: An Interdisciplinary Evaluation of Emerging AI Governance Measures,"Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604751,"Ganesh, Bhargavi",2023.0,https://doi.org/10.1145/3600211.3604751,conferencePaper,"The ubiquitous use of AI in a wide range of domain areas, including health, finance, social media, and many others, along with the well-publicised harms and concerns around the use of these systems, has generated questions around who is responsible, in the normative sense, for the outcomes of increasingly autonomous systems. Scholars within the interdisciplinary field of AI Ethics have noted that AI poses challenges to the attribution of moral and legal responsibility, due to the diminished knowledge and control of individual actors involved in bringing about system outcomes, and the existence of “many hands”- or a diffuse network of individuals and collectives who could potentially be responsible [6]. In my research, I draw from conceptual approaches in philosophy, examples from the history of technology, and domain-specific qualitative case studies to examine the extent to which AI presents new challenges to responsibility attribution. In addition, my research evaluates the effectiveness of emerging organisational and regulatory governance measures in meeting the challenges posed by apparent responsibility gaps.",AI Governance; Applied Ethics; History of Technology; Political Economy of AI; Responsibility,9798400702310,,2023,2023-11-06 01:29:50,2023-11-06 01:29:50,952–954,AIES '23,Association for Computing Machinery,VQHRKTZ2,0.0542168674698795,0.4166666666666667,0.1764705882352941,0.0905323207100411
152,152,Artificial Intelligence and the Purpose of Social Systems,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3461702.3462526,"Benthall, Sebastian; Goldenfein, Jake",2021.0,https://doi.org/10.1145/3461702.3462526,conferencePaper,"The law and ethics of Western democratic states have their basis in liberalism. This extends to regulation and ethical discussion of technology and businesses doing data processing. Liberalism relies on the privacy and autonomy of individuals, their ordering through a public market, and, more recently, a measure of equality guaranteed by the state. We argue that these forms of regulation and ethical analysis are largely incompatible with the techno-political and techno-economic dimensions of artificial intelligence. By analyzing liberal regulatory solutions in the form of privacy and data protection, regulation of public markets, and fairness in AI, we expose how the data economy and artificial intelligence have transcended liberal legal imagination. Organizations use artificial intelligence to exceed the bounded rationality of individuals and each other. This has led to the private consolidation of markets and an unequal hierarchy of control operating mainly for the purpose of shareholder value. An artificial intelligence will be only as ethical as the purpose of the social system that operates it. Inspired by the science of artificial life as an alternative to artificial intelligence, we consider data intermediaries: sociotechnical systems composed of individuals associated around collectively pursued purposes. An attention cooperative, that prioritizes its incoming and outgoing data flows, is one model of a social system that could form and maintain its own autonomous purpose.",artificial intelligence; privacy; cybernetics; economics; intermediaries; liberalism; platforms,978-1-4503-8473-5,,2021,2023-11-06 01:29:58,2023-11-06 01:29:58,3–12,AIES '21,Association for Computing Machinery,WMI48KPR,0.091324200913242,0.125,0.0,0.090112680056471
153,153,Artificial Quasi Moral Agency,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3539549,"Semler, Jen",2022.0,https://doi.org/10.1145/3514094.3539549,conferencePaper,"My research explores interrelated theoretical and practical questions about artificial intelligence (AI) and moral decision-making by focusing on the concept of moral agency. I propose a distinction between quasi (non-sentient) moral agents and sentient moral agents, and I argue that the key features of moral agency are conceptually possible to instantiate without phenomenal consciousness. Next, I will situate AI within the conversation of moral agency, exploring whether AI does, or can, meet the criteria for quasi moral agency. In the future, I will look at the relationship between quasi moral agency and responsibility, how we ought to use AI in moral decision-making, and policy proposals for the development and use of artificial moral agents.",AI ethics; autonomy; moral agency; moral responsibility; moral understanding; phenomenal consciousness,978-1-4503-9247-1,,2022,2023-11-06 01:29:49,2023-11-06 01:29:49,913,AIES '22,Association for Computing Machinery,IJCVJPJ8,0.043859649122807,0.4545454545454545,0.0,0.0897557195505455
154,154,"AI and Us: Ethical Concerns, Public Knowledge and Public Attitudes on Artificial Intelligence","Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3539518,"Budic, Marina",2022.0,https://doi.org/10.1145/3514094.3539518,conferencePaper,"In the first part I present a theoretical study of ethical challenges arising from the development and application of AI, while in the second part I present an empirical study of public attitudes towards the various aspects of AI use, which I have conducted. Artificial intelligence (AI) describes systems that mimic human cognitive functions and that are designed to achieve specific goals, execute tasks, make decisions or achieve goals in complex situations autonomously.AI can greatly facilitate people's daily and business lives, but it also brings challenges, such as privacy, transparency, discrimination, job loss, and responsibility. One of the main challenges related to the adoption and implementation of AI is the current connotations and perceptions of the subject. To some people, AI is a mysterious concept, and it is difficult to understand how it manifests in their daily lives. The development and application of AI raise several ethical issues, including the interaction of AI with human rights such as privacy and discrimination [2]. Previous studies [1, 3-5] have examined some aspects of AI. In this study, I have employed a new scale to measure the general attitudes of the public towards AI.I have conducted an empirical study of public attitudes towards various aspects of the use of AI. The participants were the public in Serbia (N=737) who filled out an online questionnaire. The questionnaire consisted of general socio-demographic questions, questions about familiarity with AI, a brief introduction to the concept of AI, and questions about participants' attitudes towards the use of AI. Participants were asked to what degree they (dis)agree with the statements on the 5-point Likert scale. I have investigated whether age, education, previous knowledge of AI, profession, and level of religiosity influences people's attitudes towards AI. Objectives were to (1) examine the public's attitudes in Serbia toward the use of AI; (2) determine which factors influence these attitudes; (3) examine whether the public shares the concerns identified by ethical philosophers in the debates on AI; (4) examine prior knowledge of the public on AI. Data were analyzed in the R programming language. The general attitude towards the use of AI was assessed by creating a composite score based on the questions in which the respondents expressed their attitudes towards different aspects of the use of AI.The results showed that the public in Serbia has a divided opinion on the use of AI. Half of them have positive, and the other half negative attitudes. These attitudes are influenced by variables such as the respondents' age, education, profession, level of religiosity, and prior knowledge of AI, in a way that young, highly educated, non-religious, those with highly qualified jobs, especially IT professionals, and those who are more familiar with the concept of AI, have more positive attitudes towards the use of AI. Also, the results showed that the public is concerned about the disappearance of professions due to the development of AI and discrimination by AI systems. The results suggest a need to educate the public about challenges and ways to prevent them. It is necessary to increase transparency in decision-making processes related to the implementation of AI and dialogue between the public on the one hand and the state and the private sector on the other. I argue that considering different aspects of public attitudes toward AI enhances this debate. The results are valuable for future work on this topic because similar public opinion polls have not been conducted, especially not in Serbia. Public opinion has not shaped conversations about the use of AI. Another focus should be on further research of the attitudes of the public and experts on specific applications of AI and related ethical challenges. This research has implications for future research, particularly when forming an AI attitude scale.",AI; ethical concerns; knowledge; public attitudes,978-1-4503-9247-1,,2022,2023-11-06 01:29:54,2023-11-06 01:29:54,892,AIES '22,Association for Computing Machinery,4E48YYP8,0.0771704180064308,0.6666666666666666,0.3076923076923077,0.0894685245375007
155,155,Beyond the ML Model: Applying Safety Engineering Frameworks to Text-to-Image Development,"Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604685,"Rismani, Shalaleh; Shelby, Renee; Smart, Andrew; Delos Santos, Renelito; Moon, AJung; Rostamzadeh, Negar",2023.0,https://doi.org/10.1145/3600211.3604685,conferencePaper,"Identifying potential social and ethical risks in emerging machine learning (ML) models and their applications remains challenging. In this work, we applied two well-established safety engineering frameworks (FMEA, STPA) to a case study involving text-to-image models at three stages of the ML product development pipeline: data processing, integration of a T2I model with other models, and use. Results of our analysis demonstrate the safety frameworks – both of which are not designed explicitly examine social and ethical risks – can uncover failure and hazards that pose social and ethical risks. We discovered a broad range of failures and hazards (i.e., functional, social, and ethical) by analyzing interactions (i.e., between different ML models in the product, between the ML product and user, and between development teams) and processes (i.e., preparation of training data or workflows for using an ML service/product). Our findings underscore the value and importance of examining beyond an ML model in examining social and ethical risks, especially when we have minimal information about an ML model.",Art; Responsible ML; Safety engineering; T2I generative models,9798400702310,,2023,2023-11-06 01:29:50,2023-11-06 01:29:50,70–83,AIES '23,Association for Computing Machinery,U79KQDXC,0.1011904761904761,0.0,0.0,0.0891726049089469
156,156,A Multi-Agent Approach to Combine Reasoning and Learning for an Ethical Behavior,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3461702.3462515,"Chaput, Rémy; Duval, Jérémy; Boissier, Olivier; Guillermin, Mathieu; Hassas, Salima",2021.0,https://doi.org/10.1145/3461702.3462515,conferencePaper,"The recent field of Machine Ethics is experiencing rapid growth to answer the societal need for Artificial Intelligence (AI) algorithms imbued with ethical considerations, such as benevolence toward human users and actors. Several approaches already exist for this purpose, mostly either by reasoning over a set of predefined ethical principles (Top-Down), or by learning new principles (Bottom-Up). While both methods have their own advantages and drawbacks, only few works have explored hybrid approaches, such as using symbolic rules to guide the learning process for instance, combining the advantages of each. This paper draws upon existing works to propose a novel hybrid method using symbolic judging agents to evaluate the ethics of learning agents' behaviors, and accordingly improve their ability to ethically behave in dynamic multi-agent environments. Multiple benefits ensue from this separation between judging and learning agents: agents can evolve (or be updated by human designers) separately, benefiting from co-construction processes; judging agents can act as accessible proxies for non-expert human stakeholders or regulators; and finally, multiple points of view (one per judging agent) can be adopted to judge the behavior of the same agent, which produces a richer feedback. Our proposed approach is applied to an energy distribution problem, in the context of a Smart Grid simulator, with continuous and multi-dimensional states and actions. The experiments and results show the ability of learning agents to correctly adapt their behaviors to comply with the judging agents' rules, including when rules evolve over time.",ethics; machine ethics; ethical judgment; hybrid neural-symbolic learning; multi-agent learning; reinforcement learning,978-1-4503-8473-5,,2021,2023-11-06 01:29:54,2023-11-06 01:29:54,13–23,AIES '21,Association for Computing Machinery,3ZZ3MVFU,0.0452674897119341,0.5833333333333334,0.25,0.0888492979580001
157,157,"Have a Break from Making Decisions, Have a MARS: The Multi-Valued Action Reasoning System","Artificial Intelligence XXXIX: 42nd SGAI International Conference on Artificial Intelligence, AI 2022, Cambridge, UK, December 13–15, 2022, Proceedings",,,10.1007/978-3-031-21441-7_31,"Badea, Cosmin",2022.0,https://doi.org/10.1007/978-3-031-21441-7_31,conferencePaper,"The Multi-valued Action Reasoning System (MARS) is an automated value-based ethical decision-making model for agents in Artificial Intelligence (AI). Given a set of available actions and an underlying moral paradigm, by employing MARS one can identify the ethically preferred action. It can be used to implement and model different ethical theories, different moral paradigms, as well as combinations of such, in the context of automated practical reasoning and normative decision analysis. It can also be used to model moral dilemmas and discover the moral paradigms that result in the desired outcomes therein. In this paper we give a condensed description of MARS, explain its uses, and comparatively place it in the existing literature.",AI ethics; Value alignment; Expert and knowledge-based systems; Intelligent agents; Logics for AI; Mathematical models for AI; Multi-criteria decision-making,978-3-031-21440-0,,2022,2023-11-06 01:30:03,2023-11-06 01:30:03,359–366,,Springer-Verlag,YRYEXWCX,0.0619469026548672,0.2631578947368421,0.0,0.0883940136290932
158,158,Hard Choices in Artificial Intelligence,Artif. Intell.,300.0,C,10.1016/j.artint.2021.103555,"Dobbe, Roel; Krendl Gilbert, Thomas; Mintz, Yonatan",2021.0,https://doi.org/10.1016/j.artint.2021.103555,journalArticle,"As AI systems are integrated into high stakes social domains, researchers now examine how to design and operate them in a safe and ethical manner. However, the criteria for identifying and diagnosing safety risks in complex social contexts remain unclear and contested. In this paper, we examine the vagueness in debates about the safety and ethical behavior of AI systems. We show how this vagueness cannot be resolved through mathematical formalism alone, instead requiring deliberation about the politics of development as well as the context of deployment. Drawing from a new sociotechnical lexicon, we redefine vagueness in terms of distinct design challenges at key stages in AI system development. The resulting framework of Hard Choices in Artificial Intelligence (HCAI) empowers developers by 1) identifying points of overlap between design decisions and major sociotechnical challenges; 2) motivating the creation of stakeholder feedback channels so that safety issues can be exhaustively addressed. As such, HCAI contributes to a timely debate about the status of AI development in democratic societies, arguing that deliberation should be the goal of AI Safety, not just the procedure by which it is ensured.",AI ethics; AI governance; AI regulation; AI safety; Philosophy of artificial intelligence; Sociotechnical systems,,0004-3702,2021-11,2023-11-06 01:30:02,2023-11-06 01:30:02,,,,3VQXTGY2,0.0591397849462365,0.4285714285714285,0.0,0.0878856480050875
159,159,Are We Nearly There Yet? A Desires &amp; Realities Framework for Europe’s AI Strategy,Information Systems Frontiers,25.0,1,10.1007/s10796-022-10285-2,"Polyviou, Ariana; Zamani, Efpraxia D.",2022.0,https://doi.org/10.1007/s10796-022-10285-2,journalArticle,"Of all emerging technologies, Artificial Intelligence (AI) is perhaps the most debated topic in contemporary society because it promises to redefine and disrupt several sectors. At the same time, AI poses challenges for policymakers and decision-makers, particularly regarding formulating strategies and regulations to address their stakeholders’ needs and perceptions. This paper explores stakeholder perceptions as expressed through their participation in the formulation of Europe’s AI strategy and sheds light on the challenges of AI in Europe and the expectations for the future. Our analysis reveals six dimensions towards an AI strategy; ecosystems, education, liability, data availability sufficiency &amp; protection, governance and autonomy. It draws on these dimensions to construct a desires-realities framework for AI strategy in Europe and provide a research agenda for addressing existing realities. Our findings contribute to understanding stakeholder desires on AI and hold important implications for research, practice and policymaking.",AI ethics; Artificial Intelligence; AI strategy; Technology policy; Technology regulation,,1387-3326,2022-06,2023-11-06 01:30:01,2023-11-06 01:30:01,143–159,,,XM8J97V3,0.0625,0.4,0.0714285714285714,0.0875785248953001
160,160,"Examining the Ethics of Brain-Computer Interfaces: Ensuring Safety, the Rights and Dignity of Personhood","Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604733,"Mchia, Terkura Thomas",2023.0,https://doi.org/10.1145/3600211.3604733,conferencePaper,"Brain-Computer interfacing is one of the most interesting, digital health devices. It includes wearable, implantable, and injectable medical systems to improve or restore movement. It also includes machine-learning algorithms to help neurologically deficient persons to communicate and make decisions. All BCI applications connect the human brain to a machine that is external to the brain and the source of the self. Research and interest in Brain-Computer Interfaces have been developing at a rapid rate, with neuroscientists using BCI technology in an increasing range of applications. There are ethical questions that are lacking from the application of AI medically supported tools: safety assurance; human rights; the autonomy and dignity of the person who uses BCIs.",,9798400702310,,2023,2023-11-06 01:29:56,2023-11-06 01:29:56,982,AIES '23,Association for Computing Machinery,MZ64XZGB,0.0701754385964912,0.0,0.2142857142857142,0.0872649125664789
161,161,Towards Formalizing and Assessing AI Fairness,"Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3600211.3604762,"Schmitz, Anna",2023.0,https://doi.org/10.1145/3600211.3604762,conferencePaper,"At the beginning of my PhD, I studied various AI ethics and trust- worthiness guidelines, including the HLEG Ethics Guidelines for Trustworthy AI [6] which I consider especially relevant from a European perspective. In [12], I summarize the motivation for trust- worthy Al and a set of trustworthiness dimensions that are con- sistently mentioned in these guidelines (ie., fairness, reliability, safety & security, transparency, data protection, autonomy & con- trol). While this set focuses on those requirements and risks which can be addressed by technical means in the AI system itself, it is noteworthy that various guidelines also refer to the way the or ganization (e.g., provider or operator) handles its Al applications (eg, post-market monitoring [2], »AI Ethics Review Board<< [6]). Therefore, in [12], I highlight two perspectives on trustworthy Al« and argue that an interplay of both is necessary in order to achieve and assure >trustworthy Al« in practice: the product and organiza- tional perspectives. I describe the essence of these perspectives as follows: i) high technical quality of Al systems is required, ii) the organization should make appropriate preparations (e.g., establish structures, processes and roles) to handle its Al applications and their development in a trustworthy manner. For each perspective, I",Trustworthy AI; AI Assessment; AI Fairness; AI Risk,9798400702310,,2023,2023-11-06 01:29:54,2023-11-06 01:29:54,999–1001,AIES '23,Association for Computing Machinery,UZK8SQDY,0.0686274509803921,0.5,0.1666666666666666,0.0870585498679583
162,162,Lean Privacy Review: Collecting Users’ Privacy Concerns of Data Practices at a Low Cost,ACM Trans. Comput.-Hum. Interact.,28.0,5,10.1145/3463910,"Jin, Haojian; Shen, Hong; Jain, Mayank; Kumar, Swarun; Hong, Jason I.",2021.0,https://doi.org/10.1145/3463910,journalArticle,"Today, industry practitioners (e.g., data scientists, developers, product managers) rely on formal privacy reviews (a combination of user interviews, privacy risk assessments, etc.) in identifying potential customer acceptance issues with their organization’s data practices. However, this process is slow and expensive, and practitioners often have to make ad-hoc privacy-related decisions with little actual feedback from users. We introduce Lean Privacy Review (LPR), a fast, cheap, and easy-to-access method to help practitioners collect direct feedback from users through the proxy of crowd workers in the early stages of design. LPR takes a proposed data practice, quickly breaks it down into smaller parts, generates a set of questionnaire surveys, solicits users’ opinions, and summarizes those opinions in a compact form for practitioners to use. By doing so, LPR can help uncover the range and magnitude of different privacy concerns actual people have at a small fraction of the cost and wait-time for a formal review. We evaluated LPR using 12 real-world data practices with 240 crowd users and 24 data practitioners. Our results show that (1) the discovery of privacy concerns saturates as the number of evaluators exceeds 14 participants, which takes around 5.5 hours to complete (i.e., latency) and costs 3.7 hours of total crowd work ( $80 in our experiments); and (2) LPR finds 89% of privacy concerns identified by data practitioners as well as 139% additional privacy concerns that practitioners are not aware of, at a 6% estimated false alarm rate.",data ethics; heuristic evaluation; Privacy concern; privacy engineering,,1073-0516,2021-08,2023-11-06 01:30:02,2023-11-06 01:30:02,,,,ASW3V8FI,0.0537190082644628,0.625,0.2142857142857142,0.0853124345895335
163,163,The Development of Teaching Case Studies to Explore Ethical Issues Associated with Computer Programming: Four Case Studies on Programming Ethics.,Proceedings of the 2021 Conference on United Kingdom &amp; Ireland Computing Education Research,,,10.1145/3481282.3481293,"Gordon, Damian; Collins, Michael; O'Sullivan, Dympna",2021.0,https://doi.org/10.1145/3481282.3481293,conferencePaper,"In the past decade software products have become pervasive in many aspects of people's lives around the world. Unfortunately, the quality of the experience an individual has interacting with that software is dependent on the quality of the software itself, and it is becoming more and more evident that many large software products contain a range of issues and errors, and these issues are not known to the developers of these systems, and they are unaware of the deleterious impacts of those issues on the individuals who use these systems. The authors of this paper are developing a new digital ethics curriculum for the instruction of computer science students. In this paper we present case studies that were explored to demonstrate programming issues to First Year Computer Science students. Each case study outlines key issues associated with a particular scenario and is accompanied by specific questions to be used by the instructor to allow students to begin to reflect on, and evaluate, the implications of these issues. The objective of this teaching content is to ensure that the students are presented with, and engage with, ethical considerations early in their studies and well before they encounter them in an employment setting.",Ethical Case studies; Programming Ethics; Programming Issues,978-1-4503-8568-8,,2021,2023-11-06 01:30:04,2023-11-06 01:30:04,,UKICER '21,Association for Computing Machinery,29PWHRFY,0.0348258706467661,0.7142857142857143,0.25,0.0844246572591409
164,164,"The Theory, Practice, and Ethical Challenges of Designing a Diversity-Aware Platform for Social Relations","Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3461702.3462595,"Schelenz, Laura; Bison, Ivano; Busso, Matteo; de Götzen, Amalia; Gatica-Perez, Daniel; Giunchiglia, Fausto; Meegahapola, Lakmal; Ruiz-Correa, Salvador",2021.0,https://doi.org/10.1145/3461702.3462595,conferencePaper,"Diversity-aware platform design is a paradigm that responds to the ethical challenges of existing social media platforms. Available platforms have been criticized for minimizing users' autonomy, marginalizing minorities, and exploiting users' data for profit maximization. This paper presents a design solution that centers the well-being of users. It presents the theory and practice of designing a diversity-aware platform for social relations. In this approach, the diversity of users is leveraged in a way that allows like-minded individuals to pursue similar interests or diverse individuals to complement each other in a complex activity. The end users of the envisioned platform are students, who participate in the design process. Diversity-aware platform design involves numerous steps, of which two are highlighted in this paper: 1) defining a framework and operationalizing the ""diversity"" of students, 2) collecting ""diversity"" data to build diversity-aware algorithms. The paper further reflects on the ethical challenges encountered during the design of a diversity-aware platform.",diversity; diversity-aware technology; ethics; platform; social media,978-1-4503-8473-5,,2021,2023-11-06 01:29:51,2023-11-06 01:29:51,905–915,AIES '21,Association for Computing Machinery,G26DK5AR,0.0580645161290322,0.2857142857142857,0.2142857142857142,0.0833687398546698
165,165,Artificial Concepts of Artificial Intelligence: Institutional Compliance and Resistance in AI Startups,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3534138,"Winecoff, Amy A.; Watkins, Elizabeth Anne",2022.0,https://doi.org/10.1145/3514094.3534138,conferencePaper,"Scholars and industry practitioners have debated how to best develop interventions for ethical artificial intelligence (AI). Such interventions recommend that companies building and using AI tools change their technical practices, but fail to wrangle with critical questions about the organizational and institutional context in which AI is developed. In this paper, we contribute descriptive research around the life of ""AI"" as a discursive concept and organizational practice in an understudied sphere–emerging AI startups–and with a focus on extra-organizational pressures faced by entrepreneurs. Leveraging a theoretical lens for how organizations change, we conducted semi-structured interviews with 23 entrepreneurs working at early-stage AI startups. We find that actors within startups both conform to and resist institutional pressures. Our analysis identifies a central tension for AI entrepreneurs: they often valued scientific integrity and methodological rigor; however, influential external stakeholders either lacked the technical knowledge to appreciate entrepreneurs' emphasis on rigor or were more focused on business priorities. As a result, entrepreneurs adopted hyped marketing messages about AI that diverged from their scientific values, but attempted to preserve their legitimacy internally. Institutional pressures and organizational constraints also influenced entrepreneurs' modeling practices and their response to actual or impending regulation. We conclude with a discussion for how such pressures could be used as leverage for effective interventions towards building ethical AI.",artificial intelligence; ethical systems; industry practice; organizational theory; qualitative methods,978-1-4503-9247-1,,2022,2023-11-06 01:29:56,2023-11-06 01:29:56,788–799,AIES '22,Association for Computing Machinery,42PVP9CT,0.0694444444444444,0.3,0.0833333333333333,0.0833088460361187
